html_filename,image1,image2,image3,image4,product_title,short_description,price,Maximum Digital Resolution,Advanced Graphics Rendering Technique(s),GPU Clock Speed,GPU Boost Clock Speed,Video Memory Capacity,Type of Memory (RAM),Maximum Number of Displays Supported,Interface(s),Slot Size,Cooling System,Product Height,Graphics Processing Unit (GPU),label,description2,CUDA Cores,Clock Speed,Boost Speed,Memory Speed (Gbps),Memory Size,Memory Interface,Memory Bandwidth (GB/sec),TDP,NVLink,Outputs,Multi-Screen,Resolution,Power Input,Bus Type,Card Dimensions,Box Dimensions,UPC Code,PNY Part Number
pny-geforce-gtx-1650-4gb-gddr6-dual-fan.html,https://www.neostore.com.np/assets/uploads/pny_27.jpg,https://www.neostore.com.np/assets/uploads/pny7.jpg,https://www.neostore.com.np/assets/uploads/pny_27.jpg,https://www.neostore.com.np/assets/uploads/pny7.jpg,PNY GeForce GTX 1650 4GB GDDR6 Dual Fan,"Best-In-Class Performance Best-in-class performance with the advanced graphics capabilities of the award-winning NVIDIA® Turing™ architecture. Turing Shaders Concurrent execution of floating point and integer operations, adaptive shading technology, and a new unified memory architecture enable awesome performance increases on today’s games. State-Of-The-Art-Graphics State-of-the-art graphics features, including variable rate shading, mesh shading, and multi-view rendering.","Current Price: Rs.30,400, Original Price: Rs.32,000",8K (4320p),None,1410 megahertz,1590 megahertz,4 gigabytes,GDDR6,3,PCI Express 3.0,Dual slot,Fan,7.13 inches,NVIDIA GeForce GTX 1650,,"The GeForce® GTX 1650 is built with the breakthrough graphics performance of the award-winning NVIDIA Turing architecture. With up to 2X the performance of the GeForce GTX 950, it’s a supercharger for today’s most popular games, and even faster with modern titles. GeForce GTX 1650 graphics cards are designed to deliver a powerful combination of gaming innovation, next-gen graphics, and quiet, power-efficient operation. Easily upgrade your PC and get the game ready with performance that’s up to 2X the GeForce GTX 950 and up to 70% faster than the GTX 1050 on the latest games. KEY FEATURES MINIMUM SYSTEM REQUIREMENTS",,,,,,,,,,,,,,,,,,
pny-geforce-rtx-3060-12gb-xlr8-gaming-dual-fan-edition-graphics-card.html,https://www.neostore.com.np/assets/uploads/3060_2.jpg,https://www.neostore.com.np/assets/uploads/3060_.jpg,https://www.neostore.com.np/assets/uploads/3060_2.jpg,https://www.neostore.com.np/assets/uploads/3060_.jpg,PNY GeForce RTX 3060 12GB XLR8 Gaming Dual Fan Edition Graphics Card,"NVIDIA Ampere Streaming Multiprocessors
The building blocks for the world’s fastest, most efficient GPU, the all-new Ampere SM brings 2X the FP32 throughput and improved power efficiency. 2nd Generation RT Cores
Experience 2X the throughput of 1st gen RT Cores, plus concurrent RT and shading for a whole new level of ray tracing performance. 3rd Generation Tensor Cores
Get up to 2X the throughput with structural sparsity and advanced AI algorithms such as DLSS. Now with support for up to 8K resolution, these cores deliver a massive boost in game performance and all-new AI capabilities.","Current Price: Rs.60,800, Original Price: Rs.64,000",,,,,,,,,,,,,,"The GeForce RTX™ 3060 lets you take on the latest games using the power of Ampere—NVIDIA’s 2nd generation RTX architecture. Get incredible performance with enhanced Ray Tracing Cores and Tensor Cores, new streaming multiprocessors, and high-speed G6 memory. The all-new NVIDIA Ampere architecture features new 2nd generation Ray Tracing Cores and 3rd generation Tensor Cores with greater throughput. The NVIDIA Ampere streaming multiprocessors are the building blocks for the world’s fastest, most efficient GPU for gamers and creators. GeForce RTX™ 30 Series GPUs are powered by NVIDIA’s 2nd gen RTX architecture, delivering the ultimate performance, ray-traced graphics, and AI acceleration for gamers and creators. GeForce RTX™ 30 Series GPUs are powered by NVIDIA’s 2nd gen RTX architecture, delivering the ultimate performance, ray-traced graphics, and AI acceleration for gamers and creators. KEY FEATURES",3584,1320 MHz,1777 MHz,15,12GB GDDR6,192-bit,360,170 W,Not Supported,"DisplayPort 1.4a (x3), HDMI 2.1",4,7680 × 4320 @60Hz (Digital),One 8-Pin,PCI-Express 4.0 ×16,"9.72"" x 4.72"" x 1.57""; Dual Slot","12.4"" x 7.13"" x 2.24""",,
pny-geforce-rtx-3060-ti-8gb-xlr8-gaming-dual-fan-edition-graphics-card.html,https://www.neostore.com.np/assets/uploads/3060ti.jpg,https://www.neostore.com.np/assets/uploads/3060ti_2.jpg,https://www.neostore.com.np/assets/uploads/3060ti.jpg,https://www.neostore.com.np/assets/uploads/3060ti_2.jpg,PNY GeForce RTX 3060 Ti 8GB XLR8 Gaming Dual Fan Edition Graphics Card,"NVIDIA Ampere Streaming Multiprocessors
The building blocks for the world’s fastest, most efficient GPU, the all-new Ampere SM brings 2X the FP32 throughput and improved power efficiency. 2nd Generation RT Cores
Experience 2X the throughput of 1st gen RT Cores, plus concurrent RT and shading for a whole new level of ray tracing performance. 3rd Generation Tensor Cores
Get up to 2X the throughput with structural sparsity and advanced AI algorithms such as DLSS. These cores deliver a massive boost in-game performance and all-new AI capabilities.","Current Price: Rs.91,200, Original Price: Rs.96,000",,,,,,,,,,,,,,"The GeForce RTX™ 3060 Ti lets you take on the latest games using the power of Ampere—NVIDIA’s 2nd generation RTX architecture. Get incredible performance with enhanced Ray Tracing Cores and Tensor Cores, new streaming multiprocessors, and high-speed G6 memory. The all-new NVIDIA Ampere architecture features new 2nd generation Ray Tracing Cores and 3rd generation Tensor Cores with greater throughput. The NVIDIA Ampere streaming multiprocessors are the building blocks for the world’s fastest, most efficient GPU for gamers and creators. GeForce RTX™ 30 Series GPUs are powered by NVIDIA’s 2nd gen RTX architecture, delivering the ultimate performance, ray-traced graphics, and AI acceleration for gamers and creators. EPIC-X RGB™ offers brilliant RGB design combined with ultimate performance, taking your PC to the next level. Not only can you destroy the competition, but your system can look good while doing so. KEY FEATURES",4864,1410 MHz,1665 MHz,14,8GB GDDR6,256-bit,448,200 W,Not Supported,"DisplayPort 1.4 (x3), HDMI 2.1",4,7680 × 4320 @60Hz (Digital),One 8-Pin,PCI-Express 4.0 ×16,"9.72"" x 4.72"" x 1.57""; Dual Slot","12.4"" x 7.13"" x 2.24""",,
pny-geforce-rtx-3070-ti-8gb-verto-triple-fan-graphics-card.html,https://www.neostore.com.np/assets/uploads/3070ti_2.jpg,https://www.neostore.com.np/assets/uploads/3070ti.jpg,https://www.neostore.com.np/assets/uploads/3070ti_2.jpg,https://www.neostore.com.np/assets/uploads/3070ti.jpg,PNY GeForce RTX 3070 Ti 8GB VERTO Triple Fan Graphics Card,"NVIDIA Ampere Streaming Multiprocessors
The building blocks for the world’s fastest, most efficient GPU, the all-new Ampere SM brings 2X the FP32 throughput and improved power efficiency.

2nd Generation RT Cores
Experience 2X the throughput of 1st gen RT Cores, plus concurrent RT and shading for a whole new level of ray tracing performance.

3rd Generation Tensor Cores
Get up to 2X the throughput with structural sparsity and advanced AI algorithms such as DLSS. Now with support for up to 8K resolution, these cores deliver a massive boost in game performance and all-new AI capabilities.","Current Price: Rs.114,000, Original Price: Rs.120,000",,,,,,,,,,,,,,"The GeForce RTX™ 3070 Ti graphics card is powered by Ampere—NVIDIA’s 2nd gen RTX architecture. Built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and superfast G6X memory, it gives you the power you need to rip through the most demanding games. The all-new NVIDIA Ampere architecture features new 2nd generation Ray Tracing Cores and 3rd generation Tensor Cores with greater throughput. The NVIDIA Ampere streaming multiprocessors are the building blocks for the world’s fastest, most efficient GPU for gamers and creators. GeForce RTX™ 30 Series GPUs are powered by NVIDIA’s 2nd gen RTX architecture, delivering the ultimate performance, ray-traced graphics, and AI acceleration for gamers and creators. KEY FEATURES",6144,1575 MHz,1770 MHz,19,8GB GDDR6X,256-bit,608,290 W,Not Supported,"DisplayPort 1.4 (x3), HDMI 2.1",4,7680 × 4320 @60Hz (Digital),One 12-Pin,PCI-Express 4.0 ×16,"12.02"" x 4.73"" x 2.26""; 2.9-Slot","15.08"" x 7.48"" x 3.54""",,
pny-geforce-rtx-4060-8gb-verto-dual-fan-dlss-3.html,https://www.neostore.com.np/assets/uploads/4060_.jpg,https://www.neostore.com.np/assets/uploads/4060_3.jpg,https://www.neostore.com.np/assets/uploads/4060_2.jpg,https://www.neostore.com.np/assets/uploads/4060_.jpg,PNY GeForce RTX 4060 8GB VERTO Dual Fan DLSS 3,"NVIDIA Ada Lovelace Streaming Multiprocessors
	Up to 2x performance and power efficiency 4th Generation Tensor Cores
	Up to 4x performance with DLSS 3 vs. brute-force rendering 3rd Generation RT Cores
	Up to 2x ray tracing performance","Current Price: Rs.58,275, Original Price: Rs.61,340",,,,,,,,,,,,,,"NVIDIA® GeForce RTX™ 40 Series GPUs are beyond fast for gamers and creators. They're powered by the ultra-efficient NVIDIA Ada Lovelace architecture which delivers a quantum leap in both performance and AI-powered graphics. Experience lifelike virtual worlds with ray tracing and ultra-high FPS gaming with the lowest latency. Discover revolutionary new ways to create and unprecedented workflow acceleration. Game, stream, create. The GeForce RTX™ 4060 lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio. The new NVIDIA® Ada Lovelace architecture delivers a quantum leap in performance, efficiency, and AI-powered graphics. It has new Streaming Multiprocessors, 3rd generation Ray Tracing Cores, and 4th generation Tensor Cores. It’s built on a new custom TSMC 4N process, runs with blazing fast clocks, and features a large L2 cache. It enables fast ray tracing, new ways to create, and much more. KEY FEATURES",3072,1830 MHz,2460 MHz,17,8GB GDDR6,128-bit,272,115 W,Not Supported,"DisplayPort 1.4a (x3), HDMI 2.1",4,7680 × 4320 @60Hz (Digital),One 8-Pin,PCI-Express 4.0 ×16,"8.27"" x 4.53"" x 1.57""; Dual Slot","12.64"" x 7.13"" x 2.6""",,
pny-geforce-rtx-4060-8gb-xlr8-gaming-verto-epic-x-rgb-triple-fan-dlss-3.html,https://www.neostore.com.np/assets/uploads/4060_21.jpg,https://www.neostore.com.np/assets/uploads/4060_31.jpg,https://www.neostore.com.np/assets/uploads/4060_1.jpg,https://www.neostore.com.np/assets/uploads/4060_21.jpg,PNY GeForce RTX 4060 8GB XLR8 Gaming VERTO EPIC-X RGB Triple Fan DLSS 3,"NVIDIA Ada Lovelace Streaming Multiprocessors
	Up to 2x performance and power efficiency 4th Generation Tensor Cores
	Up to 4x performance with DLSS 3 vs. brute-force rendering 3rd Generation RT Cores
	Up to 2x ray tracing performance  NVIDIA Ada Lovelace Streaming Multiprocessors
	Up to 2x performance and power efficiency 4th Generation Tensor Cores
	Up to 4x performance with DLSS 3 vs. brute-force rendering 3rd Generation RT Cores
	Up to 2x ray tracing performance","Current Price: Rs.61,450, Original Price: Rs.64,680",,,,,,,,,,,,,," NVIDIA® GeForce RTX™ 40 Series GPUs are beyond fast for gamers and creators. They're powered by the ultra-efficient NVIDIA Ada Lovelace architecture which delivers a quantum leap in both performance and AI-powered graphics. Experience lifelike virtual worlds with ray tracing and ultra-high FPS gaming with the lowest latency. Discover revolutionary new ways to create and unprecedented workflow acceleration. Game, stream, create. The PNY GeForce RTX™ 4060 lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio. Featuring electrifying EPIC-X RGB lighting, for the ultimate controllable lighting experience with endless ARGB lighting possibilities. The new NVIDIA® Ada Lovelace architecture delivers a quantum leap in performance, efficiency, and AI-powered graphics. It has new Streaming Multiprocessors, 3rd generation Ray Tracing Cores, and 4th generation Tensor Cores. It’s built on a new custom TSMC 4N process, runs with blazing fast clocks, and features a large L2 cache. It enables fast ray tracing, new ways to create, and much more.  NVIDIA Ada Lovelace Architecture Ahead of its time, ahead of the game.  KEY FEATURES",,,,,,,,,,,,,,,,,,
pny-geforce-rtx-4060-ti-8gb-verto-dual-fan-dlss-3.html,https://www.neostore.com.np/assets/uploads/4060ti_dual_fan_3.jpg,https://www.neostore.com.np/assets/uploads/4060ti_dual_fan_4.jpg,https://www.neostore.com.np/assets/uploads/4060ti_dual_fan_2.jpg,https://www.neostore.com.np/assets/uploads/4060ti_dual_fan.jpg,PNY GeForce RTX 4060 Ti 8GB VERTO Dual Fan DLSS 3,"NVIDIA Ada Lovelace Streaming Multiprocessors
	Up to 2x performance and power efficiency 4th Generation Tensor Cores
	Up to 4x performance with DLSS 3 vs. brute-force rendering 3rd Generation RT Cores
	Up to 2x ray tracing performance  NVIDIA Ada Lovelace Streaming Multiprocessors
	Up to 2x performance and power efficiency 4th Generation Tensor Cores
	Up to 4x performance with DLSS 3 vs. brute-force rendering 3rd Generation RT Cores
	Up to 2x ray tracing performance","Current Price: Rs.74,100, Original Price: Rs.78,000",,,,,,,,,,,,,,"  NVIDIA® GeForce RTX™ 40 Series GPUs are beyond fast for gamers and creators. They're powered by the ultra-efficient NVIDIA Ada Lovelace architecture which delivers a quantum leap in both performance and AI-powered graphics. Experience lifelike virtual worlds with ray tracing and ultra-high FPS gaming with the lowest latency. Discover revolutionary new ways to create and unprecedented workflow acceleration. Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio. The new NVIDIA® Ada Lovelace architecture delivers a quantum leap in performance, efficiency, and AI-powered graphics. It has new Streaming Multiprocessors, 3rd generation Ray Tracing Cores, and 4th generation Tensor Cores. It’s built on a new custom TSMC 4N process, runs with blazing fast clocks, and features a large L2 cache. It enables fast ray tracing, new ways to create, and much more.  KEY FEATURES ",,,,,,,,,,,,,,,,,,
