html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Model,Category,Readspeed,Write Speed,Storage_Capacity,Interface,Transfer Rate,Flash memory,Dimensions,Power_Consumption,label,description2,Warranty,Brand,Series,Total Capacity,Max Read Speed,Max Write Speed,Weight,Material,Color,Operating Temperature,Supporting Platforms,,Capacity
apacer-256gb-ssd-as350.html,https://www.neostore.com.np/assets/uploads/as350_2.jpg,https://www.neostore.com.np/assets/uploads/as350.jpg,https://www.neostore.com.np/assets/uploads/as350_2.jpg,https://www.neostore.com.np/assets/uploads/as350.jpg,Apacer 256GB SSD AS350,Read performance up to 5600MB/s Write Performance up to 5400MB/s Interface SATA III 6Gb/s Capacity 256GB,"Current Price: Rs.3,300, Original Price: Rs.",Apacer,AS350,SSD,Up to 560 MB/s,Up to 540 MB/s,256GB,SATA III 6Gb/s,n/a,3D NAND,(L)100 x (W)69.9 x (H)7mm,n/a,,"ENJOY THE DECENT READING SPEED AS350 operates at SATA III interface with a sequential read and write speed of up to 540MB/s, making it a perfect companion for budding gamers on a budget. EFFECTIVELY ELIMINATES POWER CONSUMPTION Operates with low power, 95% less than conventional computer hard drives. OPTIMIZED DURABILITY AND EXCELLENT PERFORMANCE AT HIGH STABILITY AS350 has an extended life with improved operation stability, maintaining the performance highly efficiency even after long-term usage.",,,,,,,,,,,,,
azek-consumer-series-2-5-inch-ssd-a100.html,https://www.neostore.com.np/assets/uploads/a100_2.jpg,https://www.neostore.com.np/assets/uploads/a100.jpg,https://www.neostore.com.np/assets/uploads/a100_2.jpg,https://www.neostore.com.np/assets/uploads/a100.jpg,AZEK Consumer Series 2.5 Inch SSD A100,"2.5 Inch Form Factor SATA III,  6Gb/s Interface Read: 550MB/s  Write: 500MB/s","Current Price: Rs., Original Price: Rs.",AZEK Consumer Series 2.5 Inch SSD A100,A100,SSD,Up to 550 MB/s,Up to 500 MB/s,"128GB, 256GB, 512GB and 1TB",SATA III 6Gb/s,,3D NAND,69.9mm x 100.1mm x 7mm,,,"Give a performance boost to your existing Laptop or Desktop with AZEK A100 2.5″ SATA III (6G/s) solid-state drive (SSD). Easy to install and upgrade for faster boot-up, application loading time, and fast data transfer rate give your old computer a new life. Fast Transfer Speed Faster Startup, gives boost to the performance of your PC Easy To Install Fully electronic chips, no moving parts SATA3.0, 6Gb/s interface Better Stability Supporting Hotplug, Applicable for Laptops and Desktops Energy Efficient Build and tested to ensure performance, quality, compatibility, and reliability.",3 Years,,,,,,,,,,,,
azek-pcie-nvme-m-2-internal-gaming-ssd-a1000.html,https://www.neostore.com.np/assets/uploads/176.jpg,https://www.neostore.com.np/assets/uploads/176.jpg,,,AZEK PCIe NVMe M.2 Internal Gaming SSD A1000,Easy to Install PCIe Gen 3.0 x 4 NVME m.2 2280 SSD Read Speed - 1800MB/s Write Speed - 600MB/s,"Current Price: Rs., Original Price: Rs.",AZEK PCIe NVMe M.2 Internal Gaming SSD,A1000,SSD,Up to 1800 MB/s,Up to 600 MB/s,"128GB, 256GB, 512GB and 1TB",M.2 PCIe NVMe,,3D NAND,n/a,,,"AZEK A1000 Gaming SSD comes with 128GB up to 1TB of storage. Speed up your desktop/laptop to the par excellence with AZEK gaming M.2 Gaming SSDs. FAST TRANSFER SPEED Faster Startup, gives a boost to the performance of your PC EASY TO INSTALL Fully electronic chips, no moving parts SATA3.0, 6Gb/s interface BETTER STABILITY Supporting Hotplug, Applicable for Laptops and Desktops ENERGY EFFICIENT Build and tested to ensure performance, quality, compatibility, and reliability.",5 Years,,,,,,,,,,,,
hiksemi-city-e100-consumer-m-2-ssd-hs-ssd-e100n.html,https://www.neostore.com.np/assets/uploads/E100N_hiksemi_3.jpg,https://www.neostore.com.np/assets/uploads/E100N_hiksemi_2.jpg,https://www.neostore.com.np/assets/uploads/E100N_hiksemi.jpg,https://www.neostore.com.np/assets/uploads/E100N_hiksemi_3.jpg,Hiksemi CITY E100 Consumer m.2 SSD HS-SSD-E100N,"CITY E100N M.2 SATA SSD, it's time to upgrade.  High Speed Up to 560MB/s Anti-Vibration Wide Compatibility","Current Price: Rs., Original Price: Rs.",,HS-SSD-E100N,,,,,SATA III 6Gb/s,,,M.2 2280 (22 mm x 80 mm),,,Hiksemi CITY E100 Consumer m.2 SSD HS-SSD-E100N ,2 Year,Hikvision,Hiksemi,128GB / 256GB / 512GB / 1024GB(1TB),550MB/s ~ 560MB/s,440MB/s ~ 510MB,7gr,PCB Plastic/ Copper.,Black,0-70℃,,,
hiksemi-city-e100-consumer-ssd-hs-ssd-e100.html,https://www.neostore.com.np/assets/uploads/HS-SSD-E100.jpg,https://www.neostore.com.np/assets/uploads/HS-SSD-E100_3.jpg,https://www.neostore.com.np/assets/uploads/HS-SSD-E100_2.jpg,https://www.neostore.com.np/assets/uploads/HS-SSD-E100.jpg,Hiksemi CITY E100 Consumer SSD HS-SSD-E100,"CITY E100 2.5'' SATA SSD, set your computer boot in seconds.   3D Stacking Technology Better Data Safety High Performance","Current Price: Rs., Original Price: Rs.",,HS-SSD-E100,,,,,SATA III 6Gb/s,,,‎0.7 x 7 x 10 cm,,, High Speed R/W with SATA 3.0 Interface ,2 Year,Hikvision,Hiksemi,128GB / 256GB / 512GB / 1024GB(1TB),550MB/s ~ 560MB/s,450MB/s ~ 500MB/s,36.8gr,ABS Plastic,Black,0~70℃,Windows/Linux,,
hikvision-c100-consumer-class-2-5-sata-ssd.html,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0010_HIKVISION-C100.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/yoo_0002_hikvision_0020_c100.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0010_HIKVISION-C100.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/yoo_0002_hikvision_0020_c100.jpg,Hikvision C100 Consumer Class 2.5” SATA SSD,The C100 series internal SSD drive is developed from years of experience and expertise on storage technology and flash memory management. This product is specialized for optimization of computer operating systems and offers stable and fast data service by accelerating startup and performance.We have a 3d TLC NAND flash-based SSD with a custom controller. It performs pretty well for its price and competes with the other products in the same price.,"Current Price: Rs., Original Price: Rs.",Hikvision,"C100 Consumer Class 2.5"" SATA",SSD,550MB/s,450MB/s,120Gb/240Gb/480Gb/960Gb/1920Gb,SATA III / SATA II,6Gb/s / 3Gb/s,NAND 3D TLC,69.9 x 100.1 x 7 mm,1.67 W,,"High R/W Speed: SATA3.0 Read speed up to 560MB/s, Write speed up to 450MB/s. 3D NAND Technology: 3D NAND offers the potential for higher capacity, performance, and stability. Vibration Resistant Structure: Free of mechanical structure, electronic chip control for .better data safety Slim And Portable:  2.5-inch, 7 mm thick.",,,,,,,,,,,,,
hikvision-e100-consumer-class-2-5-sata-ssd.html,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0019_HIKVISION-E100-Copy-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0008_HIKVISION-E100-_2_-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0009_HIKVISION-E100-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0018_HIKVISION-E100-1.jpg,Hikvision E100 Consumer Class 2.5” SATA SSD,The E100 series solid state drive is developed from years of experience and expertise on storage technology and flash memory management. This product is specialized for optimization of computer operating systems and offers stable and fast data service by accelerating startup and performance.,"Current Price: Rs., Original Price: Rs.",Hikvision,"E100 Consumer Class 25"" SATA",SSD,550MB/s,450MB/s,128Gb/256Gb/512Gb/1024Gb,SATA III / SATA II,6Gb/s / 3Gb/s,NAND 3D TLC,70 x 100 x 7 mm,0.98 W,,"High R/W speed: SATA 3.0,Read speed up to 560 MB/s, 3D NANDtechnology:3D NAND offers the potential for higher capacity, performance, and stability, Vibration resistant structure: Free of mechanical structure, electronic chip control for better data safety, Slim and portable: 2.5‐inch, 7 mm thick, ≤ 45 g, Typical Application: PC (notebook and desktop), Small‐size proxy server,",,,,,,,,,,,,,
hikvision-e100n-m-2-sata-ssd.html,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0017_Hikvision-E100N-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0016_Hikvision-E100N-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0017_Hikvision-E100N-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/03/hikvision_0016_Hikvision-E100N-3.jpg,Hikvision E100N m.2 SATA SSD,"The E100N series consumer SSD is mounted with the M.2 interface. This product is specially designed for optimizing the computer operating systems and effectively improving the startup speed and operation efficiency of the systems. E100N series applies the 3D NAND flash memory that can effectively improve the write/read efficiency and data security, providing a stable and fast data service of the target system.","Current Price: Rs., Original Price: Rs.",Hikvision,E100N,SSD,530MB/s,450MB/s,128Gb/256Gb/512Gb/1024Gb,SATA III / SATA II,6Gb/s / 3Gb/s,NAND 3D TLC,100 x 100 x 100mm,2.51 W,,"High-speed read/write: Support M.2 interface and SATA III protocol and the read speed is up to 555MB/s. 3D NAND flash: 3D NAND flash optimizes the capacity, performance, and stability. Anti-vibration: Use the electronic chip control to replace the traditional mechanical structure and provide high data security. M.2 interface: Easy to integrate and install due to the lightweight and small size.",,,,,,,,,,,,,
hikvision-pcie-e1000-nvme-ssd.html,https://www.neostore.com.np/assets/uploads/E1000.jpg,https://www.neostore.com.np/assets/uploads/E1000_1.jpg,https://www.neostore.com.np/assets/uploads/E1000.jpg,https://www.neostore.com.np/assets/uploads/E1000_1.jpg,Hikvision PCIe E1000 NVME SSD,"Hikvision SSD E1000 uses an M.2 interface, an innovative SSD control computing chip, and 3D NAND flash to boost R/W speed while also ensuring data security. It can be used on a personal computer or a small proxy server to provide a stable and fast service. It can also boost the performance of high-end gaming and 3D graphics editing.","Current Price: Rs., Original Price: Rs.",Hikvision,E1000 m.2 Nvme,SSD,2100MB/s,1800MB/s,"128 GB, 256 GB, 512 GB",PCIe Gen3x4 interface,"up to 2100MB/s read, 1800MB/s write",n/a,n/a,n/a,,"HIKVISION E1000 M.2 2280 PCIe Gen3x4 NVMe up to 2100MB/s read, 1800MB/s write
PCIe Gen3x4 NVMe –– The upgrade that puts in 3.5x the work
Upgrade to the HIKVISION E1000 to get 3.5x the speed of a SATA-based SSD3 and go beyond the pace of a SATA SSD. You'll notice the enhanced performance from boot-ups, software load times, and transfers with PCIe Gen3x4 NVMe 1.3 standard and speeds up to 2100MB/s read and 1800MB/s write, providing you optimum efficiency without the regular slowdowns. The E1000 includes 3D NAND flash memory.

Typical Application Features and Functions",,,,,,,,,,,,,
kioxia-2-5-inch-exceria-sata-ssd.html,https://www.neostore.com.np/assets/uploads/exercia.jpg,https://www.neostore.com.np/assets/uploads/exercia_2.jpg,https://www.neostore.com.np/assets/uploads/exercia.jpg,https://www.neostore.com.np/assets/uploads/exercia_2.jpg,Kioxia 2.5 Inch Exceria Sata SSD,2.5 Inch Form Factor Read Speed - 555 MB/s Write Speed - 540 MB/s 7mm thick Shock Resistant,"Current Price: Rs., Original Price: Rs.",Kioxia 2.5 Inch Exceria Sata SSD,Exceria,SSD,Up to 555 MB/s,Up to 540 MB/s,"240GB, 480GB and 960GB",Serial ATA (SATA) 6 Gbit/s,,BiCS FLASH™ TLC,100.45 x 70.10 x 7.20 mm,,,"Instant Performance Upgrade Up your productivity with the EXCERIA SATA SSD series and enjoy faster boot ups, file transfers, and system responsiveness. Say goodbye to hard disk drive lag and get a computing experience worthy of your time. Performance Made Affordable Upgrading to an SSD from a conventional HDD can feel like you've purchased an entirely new system. EXCERIA SATA SSD series balance price and performance so you have enough funds left over for other. Improved for On-the-go Compared to hard disk drives, EXCERIA SATA SSD series also offer improved durability and power consumption, which can translate into longer battery life to keep you up and running longer. Cutting-Edge 3D Flash Memory Each EXCERIA SSD is built with BiCS FLASH™ and a vertically stacked cell structure, delivering a cutting-edge storage experience. SSD Utility Management Software The SSD Utility management software was designed to help your KIOXIA drive thrive and lets you be in control of maintenance, monitoring, SSD tuning, and more! We highly recommend you install and update to the latest version to maximize your drive’s performance and check its Percentage Life Left using the health gauge.",3 Years,,,,,,,,,,,,
kioxia-m-2-2280-pcie-gen-3x4-exceria-nvme-ssd.html,https://www.neostore.com.np/assets/uploads/kioxia.jpg,https://www.neostore.com.np/assets/uploads/kioxia_2.jpg,https://www.neostore.com.np/assets/uploads/kioxia.jpg,https://www.neostore.com.np/assets/uploads/kioxia_2.jpg,Kioxia M.2 2280 PCIe Gen 3x4 EXCERIA NVMe SSD,Easy to Install M.2 2280 Form Factor Read Speed 1700 MB/s Write Speed 1600 MB/s,"Current Price: Rs., Original Price: Rs.",Kioxia M.2 2280 PCIe Gen 3x4 EXCERIA NVMe SSD,Exceria,SSD,Up to 1700 MB/s,Up to 1600 MB/s,"250GB, 500GB and 1000GB",PCI Express® Base Specification Revision 3.1a (PCIe®),,BiCS FLASH™ TLC,80.15 x 22.15 x 2.23 mm,,,"Application Performance Maximized KIOXIA EXCERIA SSD series redefines mainstream storage for everyday users that feel held back by SATA-based hardware. Say goodbye to hard drive lag and get a computing experience worthy of your applications. Small and Compact for an Easy Upgrade Featuring a slim and light M.2 2280 form factor, the EXCERIA SSD series plugs directly into thin notebooks’ motherboards, reducing additional cable clutter for a sleeker and easy system upgrade. NVMe™ Technology Why keep using an interface that was designed for hard drives? Utilizing the latest NVMe™ 1.3c technology, EXCERIA SSDs reduce latency in your system’s I/O path between your SSD and your CPU, resulting in smooth and responsive performance. Cutting-Edge 3D Flash Memory Each EXCERIA SSD is cutting-edge FLASH™ and a vertically stacked cell structure, delivering a cutting-edge storage experience. SSD Utility Management Software The SSD Utility management software was designed to help your KIOXIA drive thrive and lets you be in control of maintenance, monitoring, SSD tuning, and more! We highly recommend you install and update to the latest version to maximize your drive’s performance and check its Percentage Life Left using the health gauge.",5 Years,,,,,,,,,,,,
