html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Model,Category,Readspeed,Write Speed,Storage_Capacity,Interface,Transfer Rate,Flash memory,Dimensions,Power_Consumption,label,description2,Warranty,Brand,Series,Total Capacity,Max Read Speed,Max Write Speed,Weight,Material,Color,Operating Temperature,Supporting Platforms,,Capacity
kioxia-nvme-m-2-2280-pcie-gen-3-x-4-exceria-plus-g2-ssd.html,https://www.neostore.com.np/assets/uploads/177.jpg,https://www.neostore.com.np/assets/uploads/261.jpg,https://www.neostore.com.np/assets/uploads/177.jpg,https://www.neostore.com.np/assets/uploads/261.jpg,Kioxia NVMe M.2 2280 PCIe Gen 3 x 4 Exceria Plus G2 SSD,BiCS FLASH™ NVMe™ 1.3c Technology M.2 2280 Form Factor PCIe® Gen3 x4 Lane SSD Utility Management Software,"Current Price: Rs., Original Price: Rs.",Kioxia NVMe M.2 2280 PCIe Gen 3 x 4 Exceria Plus G2 SSD,Exceria,SSD,"Up to 3,400 MB/s","Up to 3,200 MB/s","500GB , 1000GB and  2000GB",PCI Express® Base Specification Revision 3.1a (PCIe®),,BiCS FLASH™ TLC,80.15 x 22.15 x 3.73 mm,,,"Game-Changing Storage Don’t let your storage be outclassed. The KIOXIA EXCERIA PLUS G2 SSD series offers high-performance storage for enthusiasts and hardcore gamers that feel held back by commodity storage hardware. With up to 3,400 MB/s sequential read speed*1 and 3,200 MB/s sequential write speed available to you, your system won’t be deprived of the storage bandwidth it needs to excel. Game On! Why keep using an interface that was designed for hard drives? Utilizing the latest NVMe™ 1.3c technology, the EXCERIA PLUS G2 SSD series reduces latency in your system’s I/O path between your SSD and your CPU, resulting in smooth and responsive performance. Small and Mighty Featuring a thin and light M.2 2280 form factor, the EXCERIA PLUS G2 SSD series plugs directly into the motherboard, reducing additional cable clutter for a sleeker system. Cutting-Edge 3D Flash Memory Each EXCERIA SSD is built with BiCS FLASH™ and a vertically stacked cell structure, delivering a cutting edge storage experience. SSD Utility Management Software The SSD Utility management software was designed to help your KIOXIA drive thrive and lets you be in control of maintenance, monitoring, SSD tuning and more! We highly recommend you install and update to the latest version to maximize your drive’s performance and check its Percentage Life Left using the health gauge.",5 Years,,,,,,,,,,,,
kioxia-nvme-m-2-2280-pcie-gen-4-x-4-exceria-pro-ssd.html,https://www.neostore.com.np/assets/uploads/178.jpg,https://www.neostore.com.np/assets/uploads/262.jpg,https://www.neostore.com.np/assets/uploads/178.jpg,https://www.neostore.com.np/assets/uploads/262.jpg,Kioxia NVMe M.2 2280 PCIe Gen 4 x 4 Exceria Pro SSD,BiCS FLASH™ NVMe™ 1.4 Technology M.2 2280 Form Factor PCIe® Gen4 x4 SSD Utility Management Software,"Current Price: Rs., Original Price: Rs.",Kioxia NVMe M.2 2280 PCIe Gen 3 x 4 Exceria Pro SSD,Exceria,SSD,Up to 7300 MB/s,Up to 6400 MB/s,1TB and 2TB,PCI Express® Base Specification Revision 4.0 (PCIe®),,BiCS FLASH™ TLC,80.15 x 22.15 x 2.23 mm,,,"The all-new KIOXIA EXCERIA PRO SSD Series uses next generation technology to take your high-end computing and gaming into a new realm of possibilities. Leveraging PCI Express® 4.0 technology, this updated professional-class SSD series now offers up to 2TB of capacity well-suited for both high performance desktops and notebooks needing maximum speed. Game-Changing Performance Imagine up to 7,300 MB/s of sequential read speed*1 and up to 6,400 MB/s sequential write speed*1, and you have the KIOXIA EXCERIA PRO Series. Designed to reduce game loading, video editing and graphic rendering time, the EXCERIA PRO Series helps your content creation or gaming environment excel. Small and Compact for an Easy Upgrade Featuring a thin, single-sided M.2 2280 form factor, the EXCERIA PRO SSD series plugs directly into the motherboard, reducing additional cable clutter for a sleeker and an easy system upgrade. PCIe® 4.0 Technology This “hero” class KIOXIA SSD delivers powerful performance utilizing the PCIe® 4.0 and NVMe™ 1.4 technology. EXCERIA PRO SSD series push the boundaries of flash storage technology, offering enhanced real-world performance that will blow away hardcore gamers and content creators. Cutting-Edge 3D Flash Memory Each EXCERIA SSD is built with BiCS FLASH™ and a vertically stacked cell structure, delivering a cutting-edge storage experience. SSD Utility Management Software The SSD Utility management software was designed to help your KIOXIA drive to thrive and lets you be in control of maintenance, monitoring, SSD tuning, and more! We highly recommend you install and update to the latest version to maximize your drive’s performance and check its Percentage Life Left using the health gauge.",5 Years,,,,,,,,,,,,
netac-2-5-inch-sata-iii-ssd---nt01n600s-s3x.html,https://www.neostore.com.np/assets/uploads/349.jpg,https://www.neostore.com.np/assets/uploads/259.jpg,https://www.neostore.com.np/assets/uploads/174.jpg,https://www.neostore.com.np/assets/uploads/349.jpg,Netac 2.5 Inch Sata III SSD - NT01N600S-S3X,Form Factor : 2.5inch SATA 6.0Gbps Sequential R/W : Up To 560MB / 520MB/S Support LDPC ECC SLC Caching for instant full-speed write acceleration,"Current Price: Rs., Original Price: Rs.",Netac 2.5 Inch Sata III SSD -,NT01N600S-S3X,SSD,Up to 560 MB/s,Up to 520 MB/s,"128GB, 256GB & 512GB",SATA III 6Gb/s,,3D NAND,100mm*70mm*7mm,,,"Reliable Solid State Drive Netac SATA interface SSD - Model N600S, is specially designed for common personal desktop and laptop.
Adapting latest process 3D NAND Flash and more stable algorithmic controller, it has a faster performance and reliable compatibility. Excellent Performance In the case of multitasking work, the transmission speed is more stable.
Using SLC caching algorithm, the continuous read speed of N600S is up to 560MB/s, and the continuous write speed is up to 520MB/s, which makes work more efficient.
read speed up to 560MB/s
write speed up to 520MB/s Extraordinary Stability And Reliability N600S is reliable and durable. It uses flash memory and has no moving parts, which greatly reduces the probability of mechanical failure.
The LDPC intelligent error correction algorithm is adopted to effectively reduce the error rate of data transmission and makes data transmission more secure.",3 Years,,,,,,,,,,,,
netac-n930e-pro-m-2-nvme-ssd-nt01n930e-e4x.html,https://www.neostore.com.np/assets/uploads/260.jpg,https://www.neostore.com.np/assets/uploads/175.jpg,https://www.neostore.com.np/assets/uploads/260.jpg,https://www.neostore.com.np/assets/uploads/175.jpg,Netac N930E Pro M.2 NVMe SSD NT01N930E-E4X,"Support PCle Gen 3*4 standard and NVMe 1.3 standard protocol Support for DRAM caching architecture, it's more efficient no matter loading applications or copying files","Current Price: Rs., Original Price: Rs.",Netac N930E Pro M.2 NVMe SSD NT01N930E-E4X,NT01N930E-E4X,SSD,2 GB/s,1.27 GB/s,"128GB, 256GB, 512GB and 1TB",M.2 NVMe SSD,,3D NAND,80x22x2mm,,,"SSD M.2 drive Netac n930e Pro is an excellent choice to use as a system drive. This compact (and the use of the M.2 interface automatically implies the compactness of the device) drive, corresponding to the 2280 form factor, uses 3D NAND memory. The device is suitable for installation in mobile and stationary computers, allowing the use of equipment compatible with M.2. NVMe Transport protocol, follow the trend of development High-speed reading and writing without delay New interface, faster transmission PCle Gen 3*4 new interface provides 32Gbps transmission bandwidth Thin And Small Stable Operation M.2 2280 specification, is perfectly compatible with PC and laptop, which has excellent performance of low power consumption, low heat generation, zero noise and with shock resistance ",3 Years,,,,,,,,,,,,
pny-cs1031-m-2-nvme-gen-3-ssd.html,https://www.neostore.com.np/assets/uploads/PNY_CS1031.jpg,https://www.neostore.com.np/assets/uploads/PNY_CS1031_2.jpg,https://www.neostore.com.np/assets/uploads/PNY_CS1031.jpg,https://www.neostore.com.np/assets/uploads/PNY_CS1031_2.jpg,PNY CS1031 M.2 NVME Gen 3 SSD,"Sequential read of up to 2,400 MB/s Sequential write of up to 1,750 MB/s Faster boot-up and quicker application launch Better overall system performance Reliable storage Low power consumption, cool and quiet operation","Current Price: Rs., Original Price: Rs.",PNY,CS900,SSD,535 MBps,515 MBps,"120, 240, 480, 960GB",SATA 6Gb/s,up to 600 MBps,n/a,"2.5""",n/a,,"When compared to a SATA-based solid-state drive (SSD) or traditional hard drive (HDD), the PNY CS1031 M.2 NVMe SSD is a great choice for an NVMe Gen3 upgrade for additional storage or improved performance. The NVMe interface gives performance to any NVMe-enabled desktop or laptop computer up to 2,400 MB/s seq. read and 1,750 MB/s seq. write performance. The speed with which you write The PNY CS1031 drive is intended to be an upgrade from traditional SATA storage, taking advantage of the NVMe interface's high bandwidth to help achieve faster boot times, program launches, and overall system performance. With NVMe, you can accomplish more in less time: boot up, power down, and load programs up to three times faster than with SATA-based SSDs. The PNY CS1031 M.2 NVMe SSD is more robust, less prone to fail, and comes with a one-year warranty. The PNY CS1031 is built to the same high standards of quality and durability that the customers have come to expect from the CS900 SSD. PNY polished the world's most advanced NAND flash into the CS1031 to reach a greater durability and reliability level. The intensive testing and rigorous validation process used by PNY provides compatibility with a variety of platforms and operating systems.",,,,,,,,,,,,,
pny-cs2140-m-2-nvme-ssd.html,https://www.neostore.com.np/assets/uploads/CS2140.jpg,https://www.neostore.com.np/assets/uploads/CS2140_2.jpg,https://www.neostore.com.np/assets/uploads/CS2140.jpg,https://www.neostore.com.np/assets/uploads/CS2140_2.jpg,PNY CS2140 M.2 NVMe SSD,"Features  NVMe Gen4 upgrade from a SATA based SSD in an NVMe enabled computer High performance SSD with up to double the performance as compared to entry Gen3 x4 based SSDs Transfer speed up to 3,600 MB/s Faster boot-up and quicker application launch Better overall system performance, reliable storage Low power consumption, cool and quiet operation","Current Price: Rs., Original Price: Rs.",PNY,CS2140,SSD,"3,600MB/s","2,300MB/s",500GB,SATA 6Gb/s,up to 3600 MBps,n/a,22 x 80 x 4 mm,n/a,,"The PNY CS2140 M.2 NVMe Gen4 x4 Solid State Drive is an ideal solution for an NVMe Gen4-enabled desktop or laptop computer's mainstream performance boost. Upgrade to the newest NVMe technology for increased performance of up to 3,600 MB/s sequential read and 3,200 MB/s sequential write. With the CS2140 Gen4 technology, you'll get speedier boot times, application launches, and overall system performance. With NVMe Gen4 x4, you can accomplish more in less time: boot up, power down, and load programs up to 6 times faster than with SATA-based SSDs. With no moving components and designed to give the performance you expect, the PNY CS2140 is very durable, less likely to fail, and comes with a 1-year limited guarantee.",,,,,,,,,,,,,
pny-cs900---solid-state-drive.html,https://www.neostore.com.np/assets/uploads/pny.jpg,https://www.neostore.com.np/assets/uploads/pny_2.jpg,https://www.neostore.com.np/assets/uploads/pny_3.jpg,https://www.neostore.com.np/assets/uploads/pny.jpg,PNY CS900 - Solid state drive,"Features  Native Command Queuing (NCQ), TRIM support, End-to-end data path protection, Enhanced Secure Erase, Non-volatile Flash Memory, S.M.A.R.T.","Current Price: Rs., Original Price: Rs.",PNY,CS900,SSD,535 MBps,515 MBps,"120, 240, 480, 960GB",SATA 6Gb/s,up to 600 MBps,n/a,"2.5""",n/a,,"The PNY CS900 2.5-inch SATA-III solid-state drive is part of the company's bargain performance series. It's a fantastic choice for a first-time upgrade from a hard disk drive (HDD). The PNY CS900 was created to be a simple and affordable HDD replacement for your current PC system without sacrificing performance. You will notice a performance gain after upgrading to the CS900 SSD. In a matter of seconds, you can boot up, power down, and load programs. The PNY CS900 is a great choice for energy efficiency because it uses a fraction of the power that hard drives do. Lower power consumption, longer battery life, and a cooler, quieter system are all advantages for users. Spend less time worrying about energy use and more time enjoying your system.",,,,,,,,,,,,,
seagate-1tb-3-5-inch-desktop-hdd---7200-rpm.html,https://www.neostore.com.np/assets/uploads/2641.jpg,https://www.neostore.com.np/assets/uploads/1801.jpg,https://www.neostore.com.np/assets/uploads/2641.jpg,https://www.neostore.com.np/assets/uploads/1801.jpg,Seagate 1TB 3.5 Inch Desktop HDD - 7200 RPM,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda internal hard drives Build a powerhouse gaming computer or desktop setup with a variety of capacities and form factors The go-to SATA hard drive solution for nearly every PC application—from music to video to photo editing to PC gaming Confidently rely on internal hard drive technology backed by 20 years of innovation Migrate and clone data from old drives with ease using our free Seagate DiscWizard software tool Enjoy long-term peace of mind with the included two-year limited warranty","Current Price: Rs.7,500, Original Price: Rs.7,900",Seagate 1TB 3.5 Inch Desktop HDD With 7200 RPM,,Hard Disk,,,,,,,,,,"Unrivalled Desktop Legacy Built on proven reliability and innovation, BarraCuda 3.5-inch hard drives are available in a versatile mix of capacity and price point options to fit any budget. Multi-Tier Caching Technology
Optimised Read and Write Data Flow All hard drives in the BarraCuda family come equipped with Multi-Tier Caching Technology (MTC). By optimising data flow with intelligent layers of NAND Flash, DRAM, and media cache technologies — get faster load and applications times and improved read and write performance. Your Data Matters to Us
Trusted Dependability For more than 20 years, Seagate has manufactured and delivered the reliable BarraCuda family of drives. Your positive hard drive experience matters to us, which is why we offer robust limited warranties on all BarraCuda drives. DiscWizard
Add New Drives with Ease DiscWizard™ software makes it easy to add new drives to your computer — guiding you through steps to easily clone your current drive to your new Seagate drive, create and format partitions, transfer data, back up data for increased security and more.",3 Year,Seagate,,,,,,,Black,,,,1TB
seagate-skyhawk-3-5-inch-surveillance-hard-drives---5900-rpm.html,https://www.neostore.com.np/assets/uploads/1821.jpg,https://www.neostore.com.np/assets/uploads/2661.jpg,https://www.neostore.com.np/assets/uploads/1821.jpg,https://www.neostore.com.np/assets/uploads/2661.jpg,Seagate SkyHawk 3.5 Inch Surveillance Hard Drives - 5900 RPM,"Capacity: 1TB , 4TB Speed: 5,900RPM Interface Types: SATA Form Factor: 3.5inx1.0in LFF Hard Drive Sector Size: 4Kn Sustained Throughput: 180 Electrical Interface: SATA 600 - 6.0Gbps On-Board Cache: 64MB Wattage/VA: 5.6W","Current Price: Rs., Original Price: Rs.",Seagate SkyHawk 3.5 Inch Surveillance Hard Drives,,Hard Disk,,,,,,,,,,"Smart. Safe. Secure.
Seagate Surveillance-Optimized Storage Only Seagate has been making drives specifically for surveillance storage for ten years. SkyHawk™ is built to keep systems in the field longer and reduce the need for post-deployment support. Key Advantages Best-Fit Applications",3 Year,Seagate,,,,,,,Regular,,,,1TB 4TB
seagate-skyhawk-3-5-inch-surveillance-hard-drives-.html,https://www.neostore.com.np/assets/uploads/1831.jpg,https://www.neostore.com.np/assets/uploads/three13.jpg,https://www.neostore.com.np/assets/uploads/two23.jpg,https://www.neostore.com.np/assets/uploads/1831.jpg,Seagate SkyHawk 3.5 Inch Surveillance Hard Drives,"Capacity: 1TB, 2TB, 4TB, 6TB & 10TB Speed: 5,400RPM Interface Types: SATA Form Factor: 3.5inx1.0in LFF Hard Drive Electrical Interface: SATA 600 - 6.0Gbps","Current Price: Rs., Original Price: Rs.",Seagate SkyHawk 3.5 Inch Surveillance Hard Drives,,Hard Disk,,,,,,,,,," Smart. Safe. Secure.
Seagate Surveillance-Optimized Storage Only Seagate has been making drives specifically for surveillance storage for ten years. SkyHawk™ is built to keep systems in the field longer and reduce the need for post-deployment support.  Key Advantages Best-Fit Applications",1 Year,Seagate,,,,,,,Regular,,,,"1TB, 2TB 4TB , 6TB , 8TB & 10TB"
team-group-gxii-ssd-2-5-inches.html,https://www.neostore.com.np/assets/uploads/uploads/2021/07/GXII-2.5-inches-SSD-Drive-Internal.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/07/GXII-2.5-inches-SSD-Drive-Internal-.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/07/GXII-2.5-inches-SSD-Drive-Internal-1-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/07/GXII-2.5-inches-SSD-Drive-Internal.jpg,Team Group GXII SSD 2.5 inches,"Injects vitality into the system, 4x faster than HDD!!","Current Price: Rs., Original Price: Rs.",,,,,,,,,,,,,"Team Group GXII SSD is 4 Faster times than HDD Team Group GXII 2.5"" SSD Drive Internal is 4 times faster than the traditional hard disk and has great performance with ultrafast read-and-write speed. It accelerates boot time, shutdown time, and application response time. The perfect replacement for the traditional hard drive. Slim form factor GXII SSD 2.5-inch drive is available in 7mm to fit in more systems (even slimmer notebooks) High-Efficiency Performance The transfer interface uses SATA III 6 Gb/s. Read/write speed up to 530/430 MB/s so that it offers better performance data transfer. It also offers lower energy consumption and a peaceful operating experience. PC and laptop upgrade the best selection. Supports S.M.A.R.T. GXII SSD monitors the status of your drive Supports TRIM GXII SSD maintains the maximum performance of compatible operating systems. Low Power Consumption for Longer Use This SSD supports a new energy-saving technology generation: DevSleep (Device Sleep Mode). The power supplies are extremely low and disable the power of the SATA interface when the computer enters standby mode. Saving more power and prolonging battery life. Trustworthy and Reliable Team Group GXII SSD 2.5 inches SSD provides efficiency, monitors drive conditions, keeps maximum performance on the compatible operating systems, and extends the SSD's service life through garbage collection, wear-leveling technology, ECC (error corrections code), S.M.A.R.T., and TRIM functions. Warranty: This SSD has a 1-year limited warranty.",,,,,,,,,,,,,
