html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Category,Brand,Color,Technology,Weight,Charge Time,Play Time,Water Resistance,Warranty,label,description2,Frequency,Range,Cable Length,Cost,Model,Colour,Connection,Connector-type,LED,Microphone size,MRP,Price,Product name,Channel,Plug type,Driver size,Cable length,Freq. range,Speaker Sensitivity,Microphone Sensitivity,Impedance,Directivity,Size,Selling Price,Driver Size,,Bluetooth Version,Microphone,Frequency Response,Charging Time,Total battery Life,Additional Features,Battery,Dimensions,Frequency Range,Insurance,Show_countdown,System Required,Product Name,Series,Item model number,Item weight,Product Dimensions,Batteries
anker-soundcore-life-2-neo-bluetooth-headphone.html,https://www.neostore.com.np/assets/uploads/Life_2_Neo_31.jpg,https://www.neostore.com.np/assets/uploads/Life_2_Neo_2.jpg,https://www.neostore.com.np/assets/uploads/Life_2_Neo.jpg,https://www.neostore.com.np/assets/uploads/Life_2_Neo_31.jpg,Anker Soundcore Life 2 Neo Bluetooth Headphone,60H Playtime USB-C Fast Charging High Bass AUX Input Foldable and Comfortable For Travel,"Current Price: Rs.7,999, Original Price: Rs.",Anker Soundcore Life 2 Neo Bluetooth Headphone,Headphone,Anker,Black,Bluetooth Headset,Around 263 grams,2 Hrs,60 Hrs,-,18 months,,"Enhance your audio experience with the Soundcore Life 2 Neo Over-the-Ear Bluetooth Headphones. These comfortable, Bluetooth headphones deliver up to 40 kHz for a hi-res audio experience. The oversized 40mm titanium-coated drivers work with Anker-exclusive BassUp, our real-time bass enhancement algorithm, doubling the bass output. And, with its foldable design with reinforced hinges ensure durability with easy storage and transport. What's in the Box:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-soundcore-life-q10i-wireless-bluetooth-headphones.html,https://www.neostore.com.np/assets/uploads/Q10i.jpg,https://www.neostore.com.np/assets/uploads/Q10i_3.jpg,https://www.neostore.com.np/assets/uploads/Q10i_2.jpg,https://www.neostore.com.np/assets/uploads/Q10i.jpg,Anker Soundcore Life Q10i Wireless Bluetooth Headphones,"Embedded inside the Life Q10i earphones are titanium-coated drivers that work with our exclusive Bass-Up algorithm to double your bass output in real-time. With 60 hours of playback, the Life Q10i uses Anker's battery technology to push the Life Q10i to new limits. Listen for up to 2 hours a day for up to a month on a single charge and never worry about running out of battery even if you're in a hurry. Charging via the high-speed USB-C charging port for convenience and extended compatibility, the Life Q10i wireless earphones offer an unrivaled listening experience for anyone who tries it.","Current Price: Rs.7,999, Original Price: Rs.",Anker Soundcore Life Q10i Wireless Bluetooth Headphones,Headphone,Anker,Black,Bluetooth Headset,Around 258.55,2 Hrs,60 Hrs,-,18 months,,"  High-Resolution Audio With 40 mm drivers, the Life Q10i delivers sound up to 40 kHz for the richest listening experience. Officially certified with the Hi-Res logo, the Life Q10i can produce the most accurate reproduction of what the artist and producer intended.  100% More Print Large size 40mm titanium coated drivers work with our exclusive BassUp technology; a real-time Bass enhancement algorithm. This combination doubles the bass output.  60 Hours of Playtime Life Q10i offers 60 hours of playtime thanks to Anker's low energy consumption Bluetooth chipset with world-renowned power management technology. Listen 2 hours a day for a month 5 Minute Charge = 5 Hour Play Never worry about low battery even if you are in a hurry. Charge via the high-speed USB-C charging port for convenience and extended compatibility.  Foldable Design Eyecaps that fold neatly for easy storage and transport. Reinforced hinges provide complete durability and reliability. Soundcore Application  Choose a noise canceling mode, then choose from 22 Equalizer settings or customize it and enjoy flawless music.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-soundcore-strike-1-gaming-headset.html,https://www.neostore.com.np/assets/uploads/soundcore_strike1_3.jpg,https://www.neostore.com.np/assets/uploads/soundcore_strike1_2.jpg,https://www.neostore.com.np/assets/uploads/soundcore_strike1.jpg,https://www.neostore.com.np/assets/uploads/soundcore_strike1_3.jpg,Anker Soundcore Strike 1 Gaming Headset,"Precision Hearing: Get an in-game advantage thanks to a specially designed driver enclosure that emphasizes the sound of gunfire and footsteps to pinpoint enemy positions. Oversized Drivers: 52mm dynamic drivers ensure the sound of your victory is delivered with punch, power, and stunning realism. Stay Cool Under Pressure: Ear pads made from soft memory foam, infused with cooling gel, ensure that you stay cool while you set the scoreboard on fire. You Call The Shots: A fully detachable, noise-canceling microphone transmits your calls to the team in perfect clarity. The microphone’s IPX5 waterproofing effortlessly resists sweat, water, saliva, and drinks. Safety First: Volume limiting control protects kids from hearing damage.","Current Price: Rs.9,499, Original Price: Rs.",Anker Soundcore Strike 1 Gaming Headset,Headphone,Anker,Black & Red,Wired Gaming Headset,390 g,n/a,n/a,-,18 months,,"Precision Hearing Thanks to a unique driver enclosure, in-game audio is delivered with hyper precision. Locating sounds such as footsteps and gunfire becomes effortless. And when you hear your enemy first, you always have the upper hand. Feel The Sound Oversized 52mm drivers give a powerful, bass-driven sound that delivers visceral feedback as you leave your enemies in the dust. Don’t just hear it, feel it. Stay Cool Under Pressure Super-soft memory foam ear pads are infused with cooling gel to stay comfortable while you stay frosty. Critical Reliability Put through extreme testing and designed using advanced materials to ensure that it won’t fail when you need it most. Be Heard A removable IPX5 water-resistant microphone isolates your voice from background noise so your calls and commands are heard clearly over the sound of battle. Xbox / PS4 / PC Take advantage of Strike’s competitive edge no matter what system you’re using. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anker-space-q45-long-lasting-noise-cancelling-headphones.html,https://www.neostore.com.np/assets/uploads/q45_.jpg,https://www.neostore.com.np/assets/uploads/q45_2.jpg,https://www.neostore.com.np/assets/uploads/q45_3.jpg,https://www.neostore.com.np/assets/uploads/q45_.jpg,Anker Space Q45 | Long-Lasting Noise Cancelling Headphones,Upgraded noise cancelling system reduces noise by up to 98% Make every space your own with adaptive noise cancelling Ultra-long 50-hour playtime for travel Sound with exceptional detail Secure and comfortable fit TCO Certified: For Better Sustainability,"Current Price: Rs.19,999, Original Price: Rs.",,Earbud,Anker,Gray,Bluetooth v5.3,,2 Hours,"50 Hours (ANC On)
65 Hours (BT)",IPX7 water resistance technology.,18 Months,," Dual Connection Stay connected to two devices with Bluetooth 5.3 and multipoint connection. Instantly switch between music, calls, videos, and more on different devices hassle-free to save you time and effort.  The ultra-wide, 3-stage noise cancelling system targets and blocks out noises precisely.  Enjoy up to 50 hours of playtime in ANC mode and up to 65 hours in standard mode. ",20Hz - 20KHz,10 Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belkin-soundform-mini-wireless-on-ear-headphones-for-kids-.html,https://www.neostore.com.np/assets/uploads/SoundForm_2.jpg,https://www.neostore.com.np/assets/uploads/SoundForm_3.jpg,https://www.neostore.com.np/assets/uploads/SoundForm_.jpg,https://www.neostore.com.np/assets/uploads/SoundForm_2.jpg,Belkin SoundForm Mini Wireless On-Ear Headphones for Kids,"Code: AUD002btBK , AUD002btBL & AUD002btPK  Premium headphones, designed for kids 28-30 hours battery life for nonstop listening Maximum volume of 85dB* protects kids’ ears Compatible with popular distance-learning apps and devices Spill and accident-proof materials for durability of up to 2 years Intuitive controls are easy for kids to use","Current Price: Rs., Original Price: Rs.",,Headphone,Belkin,"Black, Blue and Pink",wireless,,,,,1 Year,," Designed for kids. Keep kids’ ears comfortable and protected with premium headphones. For schoolwork or watching videos in the back seat, easy pairing and intuitive controls are perfect even for young kids, while a volume cap of 85dB* keeps them safe during longer listening sessions. A battery life of up to 30 hours means kids can spend more uninterrupted time with their favorite sounds.  30 hours of battery life. The long-lasting battery keeps headphones charged for 28-30 hours when listening. Talkback feature. A built-in microphone allows kids to talk to teachers and friends on their device.  Distance learning approved. Tested for use with popular learning devices like iPads and Amazon Fire Tablets, and with programs like Zoom, Schoology, and Seesaw. Safe listening volume. A volume cap of 85* decibels protects kids’ ears while they listen, learn, and play.  ",20Hz-20Khz,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-pro-wireless-headset---wl5022.html,https://www.neostore.com.np/assets/uploads/headphone.jpg,https://www.neostore.com.np/assets/uploads/headphone_2.jpg,https://www.neostore.com.np/assets/uploads/headphone.jpg,https://www.neostore.com.np/assets/uploads/headphone_2.jpg,Dell Pro Wireless Headset - WL5022,"Enjoy wireless freedom away from your PC with this Teams certified headset that offers convenient call controls. Switch seamlessly across your PC, tablet or smartphone and enjoy superior audio clarity on the go.","Current Price: Rs.41,700, Original Price: Rs.43,900",Dell Pro Wireless Headset - WL5022,Headphone,Dell,Black,Wireless,150 g,1.5 hour(s),15 hour(s),-,1 Year,,"Superb wireless audio clarity Attend calls all day hassle-free with audio clarity and high-quality stereo sound. The built-in noise cancellation feature blocks out ambient noise from your surroundings ensuring that your conversations stay crisp and clear. Intuitive features and convenient call controls Easy access to call features: Answer your calls, adjust the volume, redial, and mute/unmute on the go with convenient call controls on your headset. Wear it your way: Optimised for all day comfort and enhanced call quality, the headset can be worn with the boom mic on the left or right, whichever side you prefer. Hearing protection: This feature automatically detects sudden loud noises and prevents audio spikes to protect your hearing. Confirm your status at a glance: The status indicator light on your USB dongle lets you know if you’re on mute or in a call. Real time voice prompts: Enhanced audio alerts automatically announce your connection status, talk time and mute status. Track the location of your headset: Can’t remember where you left your headset? Use the Tile App on your smartphone to quickly find it. Comfortable and easy to use Comfortable and Secure: Leatherette earpads and an adjustable leatherette headband provide hours of comfort with a secure fit. Easy charging: Conveniently charge your headset by connecting it to your PC via the included USB cable. Seamless Integration: Switch across a multitude of devices including laptops, tablets and smartphones easily and conveniently. Pack up quick: Foldable earpads let you easily pack up and an included draw-string pouch protects your headset on the go.",-,98' / 29.9 m (Bluetooth),Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-stereo-headset-wh1022.html,https://www.neostore.com.np/assets/uploads/Dell_Stereo_Headset_–_WH1022_2.jpg,https://www.neostore.com.np/assets/uploads/Dell_Stereo_Headset_–_WH1022_3.jpg,https://www.neostore.com.np/assets/uploads/Dell_Stereo_Headset_–_WH1022.jpg,https://www.neostore.com.np/assets/uploads/Dell_Stereo_Headset_–_WH1022_2.jpg,Dell Stereo Headset – WH1022,"Enjoy a comfortable and distraction-free learning experience with adaptive audio, adjustable noise-cancelling mic, and accessible audio controls.","Current Price: Rs.6,200, Original Price: Rs.",Dell Stereo Headset – WH1022,Headphone,Dell,Black,Wired,4.27 oz,-,-,-,1 Year,," Great acoustic quality Listen to speakers, attend lessons, and engage in discussions with dependable sound quality, including excellent voice pickup to guarantee you are heard well.  Plugin from anywhere While speaking, a directional, noise-canceling microphone suppresses background noise, allowing learners to join in conversations from any location.  Ideal for learning Are you looking for a high-quality, dependable, and comfy headset that allows you to concentrate solely on your studies? For you, this Dell Stereo Headset is ideal. Features:",150 - 7000 Hz,-,5 Ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digicom-bluetooth-neck-band-in-ear-headphone-flex-3.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-30.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-46.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-41.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-30.jpg,DIGICOM Bluetooth Neck Band In-Ear Headphone Flex 3,"The Flex 2 headphones have woofer and tweeter speaker modules that offer powerful bass, mids, and highs sound. Throughout the audio spectrum, you'll hear sharp, rich, and balanced sounds.","Current Price: Rs.1,950, Original Price: Rs.2,050",,In-Ear Earphone,Digicom,"Green, Blue",Bluetooth,N/a,N/a,8 Hours,N/a,6 Months,,"Seamless B/T Sound With excellent Flex 2 Bluetooth connectivity, you'll enjoy crystal-clear, uninterrupted sound whether you're listening to music or on a call. Moreover, for a flawless Bluetooth connection, the Scalable codec technology continuously analyzes ambient Wi-Fi frequencies. So, This helps in providing optimum data to the speakers. Active Key The Flex 3 Active key gives you access to a wide range of smart functionalities. So, with a simple push of a button, interact with Bixby and other features. MAGNETIC EARBUDS SPECIFICATION Highlights",20-20kHz,10 meters,N/a,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digicom-k20-bluetooth-foldable-over-ear-headphone.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-53.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-53.jpg,,,Digicom K20 Bluetooth Foldable Over – Ear Headphone,"Listen to music, watch movies with k20 for a nonstop 40 hours without any problem. It is also suitable for better and clear gaming sound. It also includes an inbuilt mic.","Current Price: Rs.4,320, Original Price: Rs.4,550",,Headphone,Digicom,Black,Bluetooth,N/a,N/a,40 Hours,N/a,1 Year,,"Stereo sound Experience high-quality stereo with rich and clear dynamic sound with this Digicom K20 Headphone. Bluetooth wireless connection Use your Bluetooth-enabled mobile device to wirelessly link the headphone up to 10 meters. Adjustable headband The padded headband is adjustable for a perfect fit. Cushioned ear cups Digicom Headphone's Soft Earmuff provides the comfort you desire. The ear cup on this headphone is really comfortable. It's a great way to block out background noise and listen in comfort for hours at a time. Up to 40 hours of playtime The built-in rechargeable battery of Digicom K20 Headphone supports 40 hours. Wireless / wired connection Backup audio cable to keep listening when the battery of the wireless connection runs out. Voice control Access Siri & Google voice to make phone calls, listen to music, set reminders, and more. Guaranteed Quality The Digicom headphone has crystal clear sound and powerful bass. The design of this headphone ensures comfort among the same range of headphones available in the Nepali Market. Highlights What’s in the box?",2.4G,10 meters,N/a,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digicom-pc-19-usb-wired-headset-with-mic.html,https://www.neostore.com.np/assets/uploads/PC-19_2.jpg,https://www.neostore.com.np/assets/uploads/PC-19_3.jpg,https://www.neostore.com.np/assets/uploads/PC-19.jpg,https://www.neostore.com.np/assets/uploads/PC-19_2.jpg,Digicom PC-19 USB Wired Headset With Mic,USB-A Connection Inbuilt Noise Cancellation Volume Button Shortcuts Moveable Mic Arm,"Current Price: Rs.2,050, Original Price: Rs.2,150",,Headphone,Digicom,Black,Wired USB-A,,,,,1 Year,,,N/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digicom-wired-headphone-dg-w7.html,https://www.neostore.com.np/assets/uploads/w72.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/C-_Users_DELL_Desktop_3DIGICOM-Wired-Headphone-DG-W7-Grey.jpg,https://www.neostore.com.np/assets/uploads/w72.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/C-_Users_DELL_Desktop_3DIGICOM-Wired-Headphone-DG-W7-Grey.jpg,Digicom Wired Headphone DG-W7,SPEAKER SIZE: 40MM FREQUENCY RANGE 20Hz – 20KHz SENSITIVITY: 100 + 3dB IMPEDANCE: 320 + 15% CABLE LENGTH: 1.5M + 10% CONNECTOR: 3.5MM,"Current Price: Rs., Original Price: Rs.",,Headphone,Digicom,"Black, Blue, Gray",Wired,N/a,N/a,N/a,N/a,1 Year,,"Sleek Design And Color The Digicom DG-W7 Wired Headphone is extremely light. The headset is also available in a variety of fashionable colors. Easy Handling Flexible Rotation Axis powers the headset, which is flat-foldable for simple storage. Similarly, with the Digicom Wired Headphone DG-W7, you may listen to music on the go. Also, the headphone can perfectly fit in if you are searching for a travel headphones. Enjoy All-Day Wearing Comfort The earmuffs that come with the headphones are quite comfortable. The Soft Earmuff of this Digicom Headphone, in particular, gives the comfort you desire. Guaranteed Quality The Digicom DG-W7 Headphone provides crystal clear sound and strong bass. Also, among the identical headphones available in Nepali Market, the vibrant mids and expanded hinges ensure the highest comfort. Built-In Inline Microphone Hand-free calling is possible because of the built-in microphone. As a result, you can use the headset whenever and wherever you choose. Other Important Features Technical Details Also, explore our headphone collection here!!! Explore our other Digicom Products",20Hz-20kHz,N/a,1.5 Meters + 10%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-chief-ii-hg20-rgb-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0010_HG20.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0008_HG20-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0007_HG20-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0006_HG20-4.jpg,Fantech Chief II HG20 RGB Gaming Headset,"Over Ear Design Encapsulated all the Sounds Around You Noise Cancelling Microphone Volume Control Located on Headset Perfect Comfort & Suspension Headband RGB Lighting Effects The Chief II HG20 RGB Gaming Headset is for gaming enthusiasts who want to take their gameplay to a higher level. It features RGB lighting effects, noise-canceling microphone, 50 mm driver unit, and easy volume control. Its designs for perfect comfort over long gameplay sessions.","Current Price: Rs.3,200, Original Price: Rs.4,999",Fantech,Headset,,,,,,,,,,HG20 is designed with running RGB lights to enhance your gaming experience. Noise Cancelling Microphone Be heard loud and clear without the distraction of background noise. Adjust the mic to pick up only your voice. Filters ambient noise. Suspension Headband Headband construction ensures balanced weight distribution and reduced clamping force even for user with larger head. Over-ear Design Encapsulate all the sounds around you.,,,2 m,,HG20,Black,Wired,3.5MM Jack,RGB,-,"3,999",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-headphone-bluetooth-dual-mode-headset-wireless-go-vibe-wh05.html,https://www.neostore.com.np/assets/uploads/wh05_3.jpg,https://www.neostore.com.np/assets/uploads/wh05_2.jpg,https://www.neostore.com.np/assets/uploads/wh05_.jpg,https://www.neostore.com.np/assets/uploads/wh05_3.jpg,Fantech Headphone Bluetooth Dual Mode Headset Wireless GO VIBE WH05,Effective Range : 10m Driver Unit : 40mm Speaker Sensitivity : 105±3dB Speaker Frequency Response: 20-20KHz Microphone Sensitivity : -42 ±3dB Microphone Impedance: 2.2KQ Battery Life : Up to 20 hours Charging Time : Approx. 2 hours Weight : 214.5g,"Current Price: Rs.2,999, Original Price: Rs.3,999",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-hg11-captain-7-1-rgb-led-light.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-21.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-21.jpg,,,Fantech Hg11 Captain 7.1 RGB LED LIGHT,"USB Wired Gaming Headset Medium size On Ear headset Noise cancelling microphone 360° surround lossless pure sound There is inline volume control, you could easily adjust the volume Chroma Lightning","Current Price: Rs.4,199, Original Price: Rs.4,999",,,,,,447gr (680gr with packing),,,,,,,,,,,,,,,RGB,,,,Full-Size 7.1 Gaming Headphones,Virtual 7.1 (SSS Chipset),USB Plug + Remote,50 mm,2.1m Plastic cable,20-20K Hz,110+/-3dB,58+/-3dB,32+/-15%,Omni directial,250*200*120mm,,,,,,,,,,,,,,,,,,,,,
fantech-hg15-captain-7-1-stereo-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0011_HG15.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0015_HG15-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0014_HG15-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0013_HG15-3.jpg,Fantech HG15 Captain 7.1 Stereo Gaming Headset,Lightweight for a long time Volume adjuster Full-Size Over-Ear Headset Connect with a USB Advance 7.1 Virtual Surround Sound Engine RGB LED Light Programmable Support Noise cancellation Microphone,"Current Price: Rs.3,499, Original Price: Rs.3,999",Fantech,Headset,,,,,,,,,,"GAME ON! Lightweight & Durable With only 264gr weight, but still flexible and incredibly durable. It has been tested extensively to withstand the rigors of pro-gaming Suspension Headband Headband construction that ensures balanced weight distribution and reduced clamping force even for user with larger head Dedicated RGB toggle Simply turn on/off your RGB settings with a single touch",,,2.5m,,HG15,Black,Wired,USB,RGB,-,"3,999",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-mh84-jade-rgb-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0057_mh84.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0055_mh84-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0054_mh84-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0057_mh84.jpg,FANTECH MH84 Jade RGB Gaming Headset,"The Fantech MH84 Jade 3.5mm RGB Gaming Headphone equipped with easy audio control with Multi-Platform Compatibility, RGB Lighting and In-line Remote Control. This headphone has Adjustable Earcup Angle Multi Platform compatibility Use on pc, Xbox, Playstation, switch and mobile devices, Speaker Driver: 50mm Multi-Platform Compatibility Wire Length: 2.2m Comfortable Ear Cups LED: RGB Lighting, 22ohm and Sensitivity:100 ± 3dB and Omni Directional Microphone Directivity. This headphone comes with Finest Leather Grade & Over-Ear Ear Cups, Noise Cancelling & Foldable Microphone, Powered from Single TRRS 3.5mm Jack & USB and Audio Control Unit for Total Sound Customization Mastery.","Current Price: Rs.3,999, Original Price: Rs.6,999",,Headset,Fantech,,,348 Grams,,,,,,"Fantech Jade Gaming Headset is one of the best product available in the market. The Fantech is innovators of Gaming Gear and Lifestyle Products. It is Multi-Platform Compatibility, which allows us to use it on a variety of devices. It also has an Audio Control Unit for complete sound customization. Similarly, You may free up your hands to accomplish other things by wearing a headset. As a result, you'll be able to do more tasks in less time, boosting workplace efficiency and productivity. Features: Compatibility Especially, This headphone has Adjustable Earcup Angle Multi Platform compatibility. Therefore, we can Use on PC, Xbox, Playstation, switch and mobile devices. Pinpoint Audio Precision This gaming headset immerses you in the action for a totally immersive gaming experience. Also, gives you the benefit of sound precision, putting you right in the middle of the action. Design It is Extreme Durable & Flexible Headband Design makes it more attractive. Also, it has RGB Lighting Mode. It has Finest Leather Grade & Over-Ear Ear Cups. Therefore, This headphone comes with Finest Leather Grade & Over-Ear Ear Cups, Noise Cancelling and Foldable Microphone. Cinematic Audio Experience A bio-cellulose driver diaphragm with a rubber surround delivers a secure audio experience with clear highs and strong lows. Especially, It creates a strong rhythmic bottom sound. Clarity in Communication The Microphone with LED Display reduces background disturbances. Also, it allows you to have simple discussions with family, business associates or best friends. Snug Fit and Durability Therefore, The adjustable and suspended headband ensures a secure fit over long sessions of gaming. Also, it has features as Also, you can get other products here!!!!!!!!!",,,2.2 m,,MH84,-,Wired,USB + 3.5 mm Single Jacked,RGB,,,,,,,,,,,,,,,"5,200",,,,,,,,,,,,,,,,,,,,
fantech-portal-7-1-hg28-virtual-surround-gaming-headset.html,https://www.neostore.com.np/assets/uploads/HG28_2.jpg,https://www.neostore.com.np/assets/uploads/HG28_.jpg,https://www.neostore.com.np/assets/uploads/HG28_2.jpg,https://www.neostore.com.np/assets/uploads/HG28_.jpg,Fantech Portal 7.1 HG28 Virtual Surround Gaming Headset,247.5g Lightweight Leatherette Ear Padded Cushions Easy Volume Control Running RGB Circular Lighting Effect,"Current Price: Rs.2,799, Original Price: Rs.3,699",Fantech Portal 7.1 HG28 Virtual Surround Gaming Headset,Headphone,Fantech,Black,Wired Gaming Headset,767gram,n/a,n/a,no,1 Year,,,20 Hz – 20 kHz,Wired,2 meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
