html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Connection Type,Wireless Version,OS Support,Wrist rest,Maximum Battery Life,Dimensions,Weight,Warranty,label,description2,Category,Color,Cable Length,Light,Connector Type,Selling Price,Product,color,Compatibility,Illuminated Key,Dimension,Connector type,Cost,Cable_length,Show_countdown
ant-esports-mk1400-gaming-keyboard.html,https://www.neostore.com.np/assets/uploads/ant_mk1400_4.jpg,https://www.neostore.com.np/assets/uploads/ant_mk1400_2.jpg,https://www.neostore.com.np/assets/uploads/ant_mk1400_3.jpg,https://www.neostore.com.np/assets/uploads/ant_mk1400.jpg,Ant Esports MK1400 Gaming Keyboard,"Type : Full Size 104 key Layout Lifespan : 10 million Keystroke Lighting: Rainbow LED OS: Windows, Mac & Linux Connectivity : USB(Wired) Cable : 1.5m Durable PVC Cable Working Voltage : 5V Working Temp; 0-45C Relative Humidity : 20-80%","Current Price: Rs.1,400, Original Price: Rs.",ANT Esports,MK1400,Wired,n/a,"Full functionaity OS Support to IOS, Mac",No,n/a,‎44.5L x 13.3W x 3.6H Centimeters,‎471 g,1 Year,,"The Ant Esports MK1400 gaming keyboard is an extraordinary membrane keyboard, designed to take your gaming experience to new heights. With its stunning RGB illumination, every keystroke comes alive with vibrant colors, adding a mesmerizing touch to your gaming setup. The black and white key-cap color scheme gives it a sleek and stylish look that perfectly complements any gaming rig. But it's not just about looks; the Ant Esports MK1400 is built for performance. Equipped with dedicated media key combinations, you have easy and convenient control over your audio and multimedia settings without interrupting your gameplay. With a remarkable 10 million click cycles, this keyboard ensures long-lasting durability, allowing you to unleash your gaming skills without worrying about wear and tear.Versatility is a key feature of the Ant Esports MK1400. Whether you're a Windows, Linux, or Mac user, this keyboard has got you covered. It's compatible with all major operating systems, ensuring seamless integration with your preferred gaming platform. Get ready to dominate the virtual realm with the Ant Esports MK1400 gaming keyboard and experience gaming like never before! ",,,,,,,,,,,,,,,
dell-multimedia-keyboard---kb216.html,https://www.neostore.com.np/assets/uploads/KB216_2.jpg,https://www.neostore.com.np/assets/uploads/KB2161.jpg,https://www.neostore.com.np/assets/uploads/KB216_21.jpg,https://www.neostore.com.np/assets/uploads/KB216_2.jpg,Dell Multimedia Keyboard - KB216,The Dell Multimedia Keyboard provides a convenient keyboard solution for everyday home or office computing uses.,"Current Price: Rs.1,140, Original Price: Rs.1,200",Dell,Dell Multimedia Keyboard - KB216,,,,,,17.4 in*5 in*1 in,17.74 oz,,,"The Dell Multimedia Keyboard provides a convenient keyboard solution for everyday home or office computing uses. The keyboard's full layout with chiclet-style keys allows for efficient, comfortable typing - excellent for everyday usage on virtually any task at hand. Durable and made of flexible materials, the Dell Multimedia Keyboard is also spill-resistant. Type fast and accomplish a number of tasks on your personal computer with the Dell KB 216 Wired USB Desktop Keyboard. The full layout of this keyboard features chiclet-style keys for comfortable and efficient typing. Multimedia keys for quick actions and commands The convenient multimedia keys let you easily access functions such as play, pause, rewind, and fast-forward plus volume control. Comfortable, desk-centric design Compact, yet featuring a full-sized keyboard and number pad, the Dell Multimedia Keyboard is ideal for home and office environments. With a durable build and quiet keys, it’s designed to provide comfort for the everyday demands of desktop usage. The Dell Multimedia Keyboard also has a palm rest that is available for separate purchase. What's in the box Dell Multimedia Keyboard - KB216.  ",Keyboard,Black,N/a,No,USB,,,,,,,,,,
digicom-mechanical-gaming-keyboard-dg-g80.html,https://www.neostore.com.np/assets/uploads/DG-G80-3.jpg,https://www.neostore.com.np/assets/uploads/DG-G80-2.jpg,https://www.neostore.com.np/assets/uploads/DG-G80.jpg,https://www.neostore.com.np/assets/uploads/DG-G80-3.jpg,Digicom Mechanical Gaming Keyboard | DG-G80,104 Key Mechanical Gaming Keyboard 6 Backlit Modes Splash Proof Design Non-Slip Ergonomic,"Current Price: Rs.6,550, Original Price: Rs.6,900",Digicom,DG-80,,,,,,457*136*39mm,960 Grams,,,"Backlit Keyboard Digicom Mechanical Gaming Keyboard has three brightness settings to choose from. You can locate keys easily in both bright and low-light settings. So, you can play even after the sun goes down. Gaming Keyboard Mechanical gaming keyboard comes with 104-key removable mechanical blue switches. Moreover, this is built for durability, reliability, and responsiveness. Mechanical keys that are fast and have medium resistance, perfect actuation, an audible click sound. And also tactile bump feedback. Durability Switch Durability is possible by a 10 million keystroke test, a modest actuation force, and a low travel distance. Digicom keycaps are made with a special double-shot manufacturing that never fades the primary color. Digicom Gaming Keyboard is both waterproof and dust resistant. 6 Backlit Modes To switch between backlit modes, press [FN+ ScrLK-]. Rainbow LED changeable lighting with 6-themed backlights. Additionally, there are 8 lighting models by default. So, you may also change their brightness by pressing FN+“↑” and“↓”. Backlit Anti-Ghosting ALL 104 Digicom Mechanical Gaming Keyboard keys are conflict-free (n-Key Rollover) for maximum gaming performance. Featuring 12 multimedia keys, a non-slip ergonomic design, and a splash-proof finish. Moreover, it has a full numeric keypad and a gold-plated corrosion-free USB connector for a secure connection. Gaming Keyboard Compatibility Computer systems supported include Windows 10, Windows 8, Windows 7, and Mac OS X.",Keyboard,Black,1.8 Meter,Yes,USB,-,,,,,,,,,
digicom-multi-device-bluetooth-keyboard-dg-ik8500.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-36.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-32.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/3-24.jpg,Digicom Multi-Device Bluetooth Keyboard DG-IK8500,"3 Device Multi-Device Rechargeable Battery Bluetooth Keyboard Windows 8 or later, Mac OS X 10.10 or later, iOS 5 or later, Android 5.0 or later are all compatible.","Current Price: Rs.6,425, Original Price: Rs.6,765",Digicom,,,,,,,N/a,N/a,1 Year,,"Digicom Bluetooth Keyboard The integrated phone and tablet stand in Digicom Multi-Device Bluetooth Keyboard DG-IK8500 allows you to hold your devices in the ideal position for typing and reading. Additionally, it has large, quiet keys and a convenient number pad created specifically for your finger for long typing. Furthermore, this feature helps to increase the opulence and impact of your typing. For you, DIGICOM has brought the greatest KEYBOARD. A beautiful type-on-anything keyboard that allows you to switch between three devices at once. Features What’s in the Digicom Bluetooth Keyboard box? ",,,,,Bluetooth,,DG-IK8500,Black,"Win, Mac, Android, IOS",N/a,,,,,
digicom-wired-slim-keyboard-dg--w12.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/W12-KEYBOARD-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/W12-KEYBOARD-3.jpg,,,Digicom Wired Slim Keyboard DG- W12,"plug and play ( no need to install) Durable, spill-resistant design and sturdy adjustable tilt legs. Simple wired USB connection – works with Windows-based PCs and mac, os/chrome os comfortable buttons. Nepali as well as English front Keyboard","Current Price: Rs.1,050, Original Price: Rs.1,110",Digicom,DG-W12,,,,,,,489 Grams,,,"All You Need With this Digicom Wired Slim keyboard, you get reliability, comfort, and style. Compact Design, Full-size Keys The normal layout with full-size keys and a number pad keeps you comfortable without taking up a lot of area on the keyboard. Design For Spill Resistance You won't have to worry about spills damaging your investment because liquid drains from the keyboard. Build to Last This stylish Digicom Wired Slim Keyboard not only looks and feels nice, but it's also built to last, thanks to its slim profile, spill-resistant construction, durable keys that can survive up to 10 million keystrokes, and sturdy, adjustable tilt legs. It's also simple to set up. Better Typing A smoother typing experience that will stand the test of time. Low-profile keys that scarcely create a sound, as well as a standard layout with full-size F-keys and a number pad, provide a comfortable and silent typing experience. Features Highlights What's in the box? Wired Keyboard, User manual",Keyboard,Black,N/a,No,USB,-,,,,,455*140*25mm,,,,
fantech-hunter-pro-k511-gaming-keyboard.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/2-24.jpg,Fantech HUNTER-Pro K511 Gaming Keyboard,LED: 3 Color Rainbow Combination Backlit Mode: one mode Media Keys: 12 keys Total keys: 104 keys Anti-ghosting: 19 Keys Anti-Ghosting,"Current Price: Rs.1,999, Original Price: Rs.3,999",Fantech,Hunter Pro K511,,,,,,458 * 187 * 34mm,N/a,,,"Mechanical Durable Switch Fantech Mechanical Gaming Keyboard allows you to think and react rapidly. The mechanical switches on your K511 feature a 4mm key travel distance and a 50 million keystroke life expectancy. To put it another way, if you own it, you'll be able to experience it even more quickly, precisely, and for longer. Customized Keys Customize it to meet your requirements: The single, combination, and macro keys on the K511 keyboard are entirely programmable, enabling you to design a truly customized tool that responds to your every keystroke. RGB Modes The RGB backlight technology of the Fantech HUNTER-Pro K511 Gaming Keyboard provides a multitude of intriguing illumination choices. The driver may adjust the lights, allowing you to modify the color and breathing manner. 104 Keys Mechanical switches on the Fantech Mechanical Gaming Keyboard may be adjusted. It has an RGB backlighting system as well as 104 fully programmable keys. Durable The Fantech HUNTER-Pro K511 Gaming Keyboard not only looks and feels amazing, but it also has a lengthy lifespan. Because of its long-lasting, adjustable tilt legs and strong keys that can sustain up to 60 million keystrokes. It's also simple to put together. Huge Compatibility Fantech's onboard mechanical switches work with Windows Vista, Win7, Win8/10, Mac OS X 10.5 or newer, Linux, Chrome OS, and there's even a USB connector.",Keyboard,Black,1.6 Meter,No,USB,-,,,,,,,,,
fantech-shikari-k515-rgb-membrane-gaming-keyboard.html,https://www.neostore.com.np/assets/uploads/k515_2.jpg,https://www.neostore.com.np/assets/uploads/k515_.jpg,https://www.neostore.com.np/assets/uploads/k515_2.jpg,https://www.neostore.com.np/assets/uploads/k515_.jpg,Fantech Shikari K515 RGB Membrane Gaming Keyboard,Product Name: SHIKARI K515 Number of Keys: 104 keys Switch Type: Membrane Anti-Ghosting: 6 keys Connection: Wired Size: 440(L)x130(W)x30(H)mm,"Current Price: Rs.1,449, Original Price: Rs.1,779",Fantech,Fantech Shikari K515 RGB Membrane Gaming Keyboard,,,,,,440(L)x130(W)x30(H)mm,645 gr,1 Year,,"Introducing the Fantech Shikari K515 RGB Membrane Gaming Keyboard with Advance Anti-Ghosting – the perfect addition to your gaming setup. With 104 keys and a membrane switch type, this keyboard provides a comfortable and responsive typing experience. Anti-Ghosting technology ensures that up to 6 keys can be pressed simultaneously without any confusion or delay, giving you an edge in intense gaming situations. Measuring at 440 x 130 x 30mm and weighing only 429.3g, this keyboard offers both comfort and convenience. The wired connection type ensures a stable connection for uninterrupted gameplay while the RGB lighting adds an aesthetic touch to your setup. Upgrade your gaming experience today with Fantech Shikari K515 RGB Membrane Gaming Keyboard with Advance Anti-Ghosting!",Gaming Keyboard,Transparent grey,1.6 Meters,RGB,Wired,,,,,,,,,,
havit-hv-kb376-wired-usb-keyboard.html,https://www.neostore.com.np/assets/uploads/HV-KB378_3.jpg,https://www.neostore.com.np/assets/uploads/HV-KB378_2.jpg,https://www.neostore.com.np/assets/uploads/HV-KB378.jpg,https://www.neostore.com.np/assets/uploads/HV-KB378_3.jpg,Havit HV-KB376 Wired Usb keyboard,"USB Compatibility: Windows 2000/XP/Vista/Windows 7/Windows 8/Windows 10. Dimensions: 438,5 x 136 x 16.6 mm Number of Keys: 104 keys . Keys Life: 8 million times . Cable: 1.4 m. Operating Voltage: 5 V Havit Hv-KB376 Wired Keyboard - Black Easy to use Good Quality Unique and fashionable design.","Current Price: Rs.660, Original Price: Rs.",Havit,Havit HV-KB378 Wired Usb keyboard,,,,,,,470 gr,1 Year,,,USB Keyboard,Black,1.4 Meters,N/a,Wired,,,,,,,,,,
havit-hv-nk01-usb-numeric-keypad.html,https://www.neostore.com.np/assets/uploads/HV-NK01_2.jpg,https://www.neostore.com.np/assets/uploads/HV-NK01.jpg,https://www.neostore.com.np/assets/uploads/HV-NK01_2.jpg,https://www.neostore.com.np/assets/uploads/HV-NK01.jpg,Havit HV-NK01 USB Numeric Keypad,"Compatible Devices Computer, Laptop. USB communication technology. Number of keys 19. Plug included USB Cable. Ultra Slim Keycap Design , adopt entire silicone ,feeling good. Fashionable apperance , also have an anti-theft password mask key characters UK printing and light solid oil,gloss wear.","Current Price: Rs.720, Original Price: Rs.",Havit,Havit HV-NK01 USB Numeric Keypad,,,,,,139*23*94 mm,148g,,,"Since the establishment of brand, HAVIT has been adhering the corporate philosophy of ""technological innovation and serving the world"". With a ""responsible for every product"" attitude, we insist on independent research and development, original design, and constantly improve every-detail of the product to improve users' experience. We strive to enable users all over the world to enjoy the technological fun brought by high-quality products. We have a modern factory specializing in R & D (Research and development) and manufacturing of 3C products. We have a management model whit high standards and strict requirements. Through strict evaluation, we supervise the operation specifications of multiple production line to achieve the best quality of production.  Key Specification: ",Numeric Keypad,Black,N/a,No,USB,,,,,,,,,,
havit-kb488l-multi-function-gaming-backlit-keyboard.html,https://www.neostore.com.np/assets/uploads/KB488L_3.jpg,https://www.neostore.com.np/assets/uploads/KB488L_2.jpg,https://www.neostore.com.np/assets/uploads/KB488L_.jpg,https://www.neostore.com.np/assets/uploads/KB488L_3.jpg,Havit KB488L Multi-function Gaming Backlit Keyboard,"Eye-catching gaming design 19 anti-ghosting keys, enable free control Fashionable and practical style design The characteristic mobile phone bracket design on the keyboard FN multimedia keys 4 standard multimedia keys.","Current Price: Rs.2,200, Original Price: Rs.",Havit,Havit KB488L Multi-function Gaming Backlit Keyboard,,,,,,,695g,1 Year,,,USB Membrane Keyboard,Black,1.5 Meters,RGB Gaming,Wired,,,,,,,,,,
havit-kb866l-multi-function-gaming-backlit-keyboard.html,https://www.neostore.com.np/assets/uploads/KB866L_3.jpg,https://www.neostore.com.np/assets/uploads/KB866L_2.jpg,https://www.neostore.com.np/assets/uploads/KB866L_.jpg,https://www.neostore.com.np/assets/uploads/KB866L_3.jpg,Havit KB866L Multi-function Gaming Backlit Keyboard,"Eye-catching gaming design Streamlined and human engineering design; elegant and beautiful. 19 anti-ghosting keys, enable free control With Fn multimedia keys, you can carry out quick operations on music play, volume control and Internet browsing to save your time. The colors of the upper and lower covers are free to choose.","Current Price: Rs.2,000, Original Price: Rs.",Havit,Havit KB866L Multi-function Gaming Backlit Keyboard,,,,,,462*147*29mm,613g,1 Year,,,Gaming Membrane Keyboard,Black,1.4m,RGB,Wired,,,,,,,,,,
imperion-centipada-104-keys-led-mechanical-usb-gaming-keyboard-kg-c10r.html,https://www.neostore.com.np/assets/uploads/centipada_3.jpg,https://www.neostore.com.np/assets/uploads/centipada_2.jpg,https://www.neostore.com.np/assets/uploads/centipada.jpg,https://www.neostore.com.np/assets/uploads/centipada_3.jpg,Imperion Centipada 104 Keys LED Mechanical USB Gaming Keyboard KG-C10R,Blue Switch Mechanical Keyboard Custom RGB Light effect Gold Plated USB Connector Full Keys Antighosting Double Color Injection Keycaps suspended Keycaps Design,"Current Price: Rs.8,010, Original Price: Rs.8,900",Imperion,KG-C10R,,,,,,144x455x41 mm,530g,1 year,,,Mechanical Gaming Keyboard,Black,n/a,RGB,Wired,,,,,,,,,,
imperion-kb-110-wired-multimedia-keyboard.html,https://www.neostore.com.np/assets/uploads/kb-110_2.jpg,https://www.neostore.com.np/assets/uploads/kb-3103.jpg,https://www.neostore.com.np/assets/uploads/kb-110_2.jpg,https://www.neostore.com.np/assets/uploads/kb-3103.jpg,Imperion KB-110 Wired Multimedia Keyboard,USB Multimedia Keyboard 12 Dedicated Multimedia Hotkeys Anti-Fade Keys with long Usage Injection Rubber for Better Type Feeling Spill Resistance,"Current Price: Rs.2,000, Original Price: Rs.",,,,,,,,,,,,,,,,,,,,,,,,,,,
imperion-kb-210-wired-multimedia-keyboard.html,https://www.neostore.com.np/assets/uploads/KB-210_2.jpg,https://www.neostore.com.np/assets/uploads/KB-210.jpg,https://www.neostore.com.np/assets/uploads/KB-210_2.jpg,https://www.neostore.com.np/assets/uploads/KB-210.jpg,Imperion KB-210 Wired Multimedia Keyboard,"ABS Material Low Profile Keys Anti-Fade keys, Long Life High quality Membrane to prevent oxidation Injection rubber for better typing experience Spill resistance","Current Price: Rs.2,000, Original Price: Rs.",Imperion,KB-210,,,,,,n/a,n/a,1 year,,,Office Keyboard,Black,n/a,No,Wired,,,,,,,,,,
imperion-kb-310-slim-wired-multimedia-keybaord.html,https://www.neostore.com.np/assets/uploads/kb-310_21.jpg,https://www.neostore.com.np/assets/uploads/kb-3102.jpg,https://www.neostore.com.np/assets/uploads/kb-310_21.jpg,https://www.neostore.com.np/assets/uploads/kb-3102.jpg,Imperion KB-310 Slim Wired Multimedia Keybaord,"USB Powered Durable and Sleek Design High quality Membrane to prevent oxidation 10 single multimedia hotkeys, easy to use Slim multimedia USB keyboard Anti-fade keys, long life","Current Price: Rs.1,800, Original Price: Rs.2,000",Imperion,KB-310,,,,,,n/a,n/a,1 year,,,Office Keyboard,Black,n/a,No,Wired,,,,,,,,,,
imperion-mech-10-led-mechanical-usb-gaming-keyboard-kg-m10r.html,https://www.neostore.com.np/assets/uploads/m10R.jpg,https://www.neostore.com.np/assets/uploads/m10r_2.jpg,https://www.neostore.com.np/assets/uploads/m10R.jpg,https://www.neostore.com.np/assets/uploads/m10r_2.jpg,Imperion Mech 10 LED Mechanical USB Gaming keyboard KG-M10R,Keyboard : 104 keys KAILH Blue Switch High Quality Aluminum Panel Custom RGB Light Effect Gold Plated USB USB Connector Full Keys Antighosting Double Colour Injection Keycaps Suspended keycaps Design Keycaps,"Current Price: Rs.6,210, Original Price: Rs.6,900",Imperion,KG-M10R,,,,,,141x452x56 mm,n/a,1 year,, ,Mechanical Gaming Keyboard,Black,n/a,RGB,Wired,,,,,,,,,,
imperion-sledgehammer-104-led-membrane-usb-gaming-keyboard-kg-s10b.html,https://www.neostore.com.np/assets/uploads/KG-S10B_2.jpg,https://www.neostore.com.np/assets/uploads/KG-S10B.jpg,https://www.neostore.com.np/assets/uploads/KG-S10B_2.jpg,https://www.neostore.com.np/assets/uploads/KG-S10B.jpg,Imperion Sledgehammer 104 LED Membrane USB Gaming Keyboard KG-S10B,"Type : Wired, illuminated, backlight Key Life : More Than 10 Million Times 19 Keys anti ghosting capability U.S / English Language Double Injection Keycaps 104 Keys Semi Mechanical Gaming Keyboard Material : ABS USB Connection Spill Resistant","Current Price: Rs.1,800, Original Price: Rs.2,000",Imperion,KG-S10B,,,,,,132x444x50 mm,n/a,1 year,,,Membrane USB Gaming Keyboard,Black,n/a,RGB,Wired,,,,,,,,,,
imperion-sledgehammer-87-keys-membrane-rgb-usb-gaming-keyboard-kg-s07c.html,https://www.neostore.com.np/assets/uploads/sledgehammer_7_3.jpg,https://www.neostore.com.np/assets/uploads/sledgehammer_7.jpg,https://www.neostore.com.np/assets/uploads/sledgehammer_7_2.jpg,https://www.neostore.com.np/assets/uploads/sledgehammer_7_3.jpg,Imperion Sledgehammer 87 Keys Membrane RGB USB Gaming Keyboard KG-S07C,"Type : Wired, illuminated, backlight 87 Floating Type Keys Mixed Colour Light With Breathing 19 Keys Anti Ghosting Rustfree Aluminum Plate USB Connection Spill Resistant U.S / English Language Key Life : More Than 10 million times Everlasting Laser Engraved Characters","Current Price: Rs.1,800, Original Price: Rs.2,000",Imperion,KG-S07C,,,,,,134x362x50 mm,n/a,1 year,,,Membrane Gaming Keyboard,Black,n/a,RGB,Wired,,,,,,,,,,
imperion-trooper-10-led-mechanical-usb-gaming-keyboard-kg-m10f.html,https://www.neostore.com.np/assets/uploads/m10f_2.jpg,https://www.neostore.com.np/assets/uploads/m10f_.jpg,https://www.neostore.com.np/assets/uploads/m10f_2.jpg,https://www.neostore.com.np/assets/uploads/m10f_.jpg,Imperion Trooper 10 LED Mechanical USB Gaming Keyboard KG-M10F,"OTUM Blue Switch Built for Comfort and Durability, OTUM Switch give a lifespan up to 50 million keystroke High Quality Aluminum Panel Solid Aluminum Structure Stability and Durability Golden USB Plated USB Connector Ensures the Perfect Data Transmission in Your Gaming Full Keys Anti-Ghost Full n-keys Rollover Double Injection Keycaps Character Never Fade Even Under Heavy Use Suspended Keycap Design Stylish and Easy to Clean","Current Price: Rs.4,950, Original Price: Rs.5,500",Imperion,KG-M10F,,,,,,140x487x46 mm,n/a,1 year,,,Mechanical Gaming Keyboard,Black,n/a,RGB,Wired,,,,,,,,,,
