html_filename,image1,image2,image3,image4,product_title,short_description,price,Brand,Model,Color,Connector Type,Additional Features,DPI,Dimension,Cable Length,Warranty,label,description2,Product,Category,Sensor Type,No. of Buttons,Weight,Others,,No.of.Buttons,Other,Selling Price,roduct,Connector type,Cable_length,Show_countdown,Dimensions,Reciver,Wireless range,Sensor Resolution,Connection Type,Number of buttons,Scroll Wheel,Connection type,Range,Nano Reciver,Battery,DIMENSIONS,Connectivity
ant-esports-gm40-rgb-gaming-mouse.html,https://www.neostore.com.np/assets/uploads/ant_2.jpg,https://www.neostore.com.np/assets/uploads/ant.jpg,https://www.neostore.com.np/assets/uploads/ant_3.jpg,https://www.neostore.com.np/assets/uploads/ant_2.jpg,Ant Esports GM40 RGB Gaming Mouse,"A simple turtle back shell design provides a firm and breathable grip to avoid sweat build-up during long gaming or working hours. With a thin and elegant RGB strip running across the bottom of the mouse, the GM40 imparts simplicity with the right balance of style and performance to your gaming setup.  High Accuracy – With a highly sensitive optical sensor inside the mouse is rated at 2400 DPI and a maximum polling rate of 1000Hz which ensures wide compatibility with play styles without compromising on accuracy. Ergonomic Design – The classic minimalist design offers maximum grip compatibility and palm support for long gaming sessions. Sober RGB Lights – Elegant and subtle RGB strip at the bottom imparts style and performance to your gaming setup. Classic Styling – A simple turtle shell design ensures a firm and sweat-free grip in all circumstances so you can work and game for those long hours without any discomfort. Universal Compatibility – The GM40 is widely compatible with various platforms including Windows, Mac, and Linux.","Current Price: Rs.500, Original Price: Rs.",ANT Esports,GM40 RGB Gaming Mouse,Black With RGB Lighting,Wired,"Multicolor Rainbow LED Lightning that enhances your gaming experience.
			Elegant look & Durable switches. Light Weight Gaming Mouse.
			Compatible with PC | Mac | Xbox | PlayStation.","4 DPI Sensitivity level adjustments, 800 / 1200 / 1600 / 2400.",11.6 x 5.8 x 0.1 cm; 80 g,n/a,1 Year,," The Ant Esports GM40 offers a minimalist design with to-the-point performance and features. The mouse offers a minimalist old-school design to gel in perfectly with your work cum gaming setup giving you the best of both worlds. With an optical sensor rated at a DPI range of 2400 DPI, the mouse is built for players that prefer commanding the battlefield due to sheer speed and precision. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
benq-zowie-ec2-gaming-mouse.html,https://www.neostore.com.np/assets/uploads/ec2_2.jpg,https://www.neostore.com.np/assets/uploads/ec2_3.jpg,https://www.neostore.com.np/assets/uploads/ec2.jpg,https://www.neostore.com.np/assets/uploads/ec2_2.jpg,BenQ ZOWIE EC2 Gaming Mouse,ZOWIE EC2 Mouse For Esports   Asymmetrical ergonomic design Driverless; plug and play 3360 sensor Size- Medium,"Current Price: Rs.10,200, Original Price: Rs.",Zowie,,Black,,,Upto 3200,,2m,1 Year,,"The top shell provides a natural curvature for your hand, thus providing comfortable support for your palm and fingers, for normal palm grip users. Take the control in your hands! The mouse is gripped in a traditional claw grip by curling your fingers together with assistance from your lower palm; the shape's curved rear ensures even contact with the lower palm for greater grip. It also allows you to move freely from the front of your palm to the tips of your fingers. Smooth and Seamless design Because of the EC's smooth and seamless design, you won't be troubled by rough edges or protrusions designed just for aesthetics.",Zowie EC2 Mouse,Mouse,Optical,5,62 Grams,n/a,,,,,,,,,,,,,,,,,,,,,
benq-zowie-ec3-c-mouse-for-esports.html,https://www.neostore.com.np/assets/uploads/ec-3.jpg,https://www.neostore.com.np/assets/uploads/ec3-c.jpg,https://www.neostore.com.np/assets/uploads/ec-3_3.jpg,https://www.neostore.com.np/assets/uploads/ec-3.jpg,BenQ ZOWIE EC3-C  Mouse For Esports,ZOWIE EC3-C Mouse For Esports  Asymmetrical ergonomic design with shorter overall length Reduced weight; paracord cable; 24-step scroll wheel Driverless; plug and play 3360 sensor Size- Small,"Current Price: Rs.10,200, Original Price: Rs.",BenQ,,Black,,,Upto 3200,,N/a,1 Year,,"The BenQ ZOWIE EC3-C is a right-handed gaming mouse that is the result of intensive ergonomics research and collaboration with elite esports players. The EC3-C combines comfort, stability, and precision thanks to its well-rounded right-side form and our latest C-features. The EC3-C is only one of several possibilities for competitive gamers looking for the right match. ZOWIE mouse provides best-in-class comfort, regardless of hand size or grip type. Classic Shape With Shorter Length The BenQ ZOWIE EC3-C maintains the same shape as the larger models in the series, keeping the distinctive feel but allowing for additional vertical movement flexibility. For Palm Grippers The EC3 is the shortest of the EC series, but it has an extended curved back that provides palm support and allows you to wrap your hand comfortably around the mouse. For Claw Grippers The EC3's shorter back allows for greater space at the palm's base, which can help with vertical movement. The New BenQ Zowie EC3-C comes with 3360 Optical sensor with 4 selectable DPI levels (400/800/1600/3200) and polling rate of (125/500/1000Hz) optimized for FPS",BenQ ZOWIE EC3-C,Mouse,Optical,5,2m,N/a,,,,,,,,,,,,,,,,,,,,,
benq-zowie-s2-mouse-for-esports.html,https://www.neostore.com.np/assets/uploads/s2_2.jpg,https://www.neostore.com.np/assets/uploads/s2.jpg,https://www.neostore.com.np/assets/uploads/s2_3.jpg,https://www.neostore.com.np/assets/uploads/s2_2.jpg,BenQ ZOWIE S2 Mouse  For Esports,ZOWIE S2 Mouse For Esports  Symmetrical gaming mouse for esports Shorter overall design Driverless; plug and play 3360 sensor Size- Small,"Current Price: Rs.10,200, Original Price: Rs.",BenQ,,Black,,,Upto 3200,,N/a,1 Year,,"Vertical Movement For vertical movement, the design of S series provides palm support more towards the front as the hump is closer to the middle. The shorter overall design provides more space that allows users to do vertical movement freely For Different Grips More About BenQ Zowie S2 Symmetrical Gaming Mouse",BenQ ZOWIE S2,Mouse,Optical,5,2m,N/a,,,,,,,,,,,,,,,,,,,,,
dell-laser-wired-mouse---ms3220.html,https://www.neostore.com.np/assets/uploads/MS3220.jpg,https://www.neostore.com.np/assets/uploads/MS3220_2.jpg,https://www.neostore.com.np/assets/uploads/MS3220_3.jpg,https://www.neostore.com.np/assets/uploads/MS3220_4.jpg,Dell Laser Wired Mouse - MS3220,Work faster and smarter with the Dell Laser Wired Mouse - MS3220,"Current Price: Rs., Original Price: Rs.",Dell,,Black,,,Upto 3200,,N/a,1 Year,,"High precision with Dell Laser Wired Mouse- MS3220 Work faster and smarter with the Dell Laser Wired Mouse - MS3220 . The 3200 DPI sensitivity lets you navigate smoothly and easily across high-resolution 4K monitors. Adjust to your preferred preset DPI in moments with a simple click of the toggle button. Quick access Two shortcut buttons let you easily move back and forth quickly through the web pages. Or you can program these shortcut buttons to your preferred commands or applications. Simple management The Dell Peripheral Manager allows you to conveniently customize and manage your keyboards and mice. For the Dell Laser Wired Mouse, you can program shortcuts, get connectivity status and the latest firmware updates easily. Best with Dell PCs Rigorous testing ensures that this mouse is designed to work perfectly with Dell systems. Plug and play easily without the hassle of setup. Fuss-free service Dell’s Advanced Exchange Service ships you a replacement unit the next business day should the mouse become faulty during the 3-year warranty period. ",Dell Laser Wired Mouse - MS3220,Mouse,Optical,5,3.46 oz,N/a,,,,,,,,,,,,,,,,,,,,,
dell-mobile-pro-wireless-mouse---ms5120w.html,https://www.neostore.com.np/assets/uploads/dell.jpg,https://www.neostore.com.np/assets/uploads/MS5120W.jpg,https://www.neostore.com.np/assets/uploads/MS5120W_3.jpg,https://www.neostore.com.np/assets/uploads/MS5120W_4.jpg,Dell Mobile Pro Wireless Mouse - MS5120W,The dual-mode connectivity incorporates a 2.4GHz wireless and a Bluetooth 5.0 connection so you can pair and connect to almost any PC via your preferred mode.,"Current Price: Rs., Original Price: Rs.",Dell,,"Black, Titan Gray",,,1600,,Wireless,1 Year,,"The dual-mode connectivity combines 2.4GHz wireless and Bluetooth 5.0 connectivity, thus allowing you to pair and connect to nearly any PC using your preferred mode. Easy Pairing Microsoft Swift Pair rapidly connects your mouse to your Windows laptop over Bluetooth, so you don't have to go into Windows settings every time. This mouse works with a wide range of operating systems, including Windows, Mac OS X, Chrome OS, Linux, and Android. Built to last You can work for up to 36 months on a single battery, which is three times longer than previous versions, and you won't have to recharge it daily, weekly, or even monthly. This allows you to focus on your tasks without having to worry about battery replacements. Precise tracking With a 1600 DPI sensor, the Dell Mobile Pro Wireless Mouse - MS5120W can readily handle high-resolution screens. Its optical sensor provides precise tracking and is suitable for use on most tabletop surfaces.. Quick access Intuitively positioned shortcut buttons allow easy navigation across web pages and applications Thus browse back and forth efficiently between pages onscreen effortlessly. Simple Management The Dell Peripheral Manager lets you customize and manage your keyboards and mice. Pair your devices, program shortcut buttons for quick access to your preferred applications and functions, and get battery and connectivity status and the latest firmware updates — whatever suits your business needs. Product Features",Dell Mobile Pro Wireless Mouse - MS5120W,Mouse,Optical,5,2.6 oz,N/a,,,,,,,,,,,,,,,,,,,,,
dell-mobile-wireless-mouse---ms3320w.html,https://www.neostore.com.np/assets/uploads/MS3320W_2.jpg,https://www.neostore.com.np/assets/uploads/MS3320W.jpg,https://www.neostore.com.np/assets/uploads/MS3320W_3.jpg,https://www.neostore.com.np/assets/uploads/MS3320W_4.jpg,Dell Mobile Wireless Mouse - MS3320W,Work efficiently using this Dell Mobile Wireless Mouse - MS3320W.,"Current Price: Rs., Original Price: Rs.",Dell,,"Black, TItan Gray",,,1600 dpi,,Wireless,1 Year,,"With the Dell Mobile Wireless Mouse - MS3320W, you can work more efficiently. Easy dual-mode networking lets you connect to practically any PC using either 2.4GHz WiFi or Bluetooth 5.0. Easy Pairing Microsoft Swift Pair rapidly connects your mouse to your Windows laptop through Bluetooth, eliminating the need to configure in Windows settings. It works with a wide range of operating systems, including Windows, Mac, Chrome, Linux, and Android thus providing maximum versatility. Built to last This mouse's battery life is 36 months, so you won't have to worry about replacing it. Simply reliable If your mouse breaks down during the three-year guarantee period, Dell's Advanced Exchange Service will send you a replacement the next business day, giving you complete peace of mind. The mouse has been thoroughly tested on Dell computers, ensuring that it is totally dependable and primed, making setup and deployment across numerous systems considerably easier. Precise tracking With a 1600 DPI sensor, the Dell Mobile Wireless Mouse - MS3320W can effortlessly handle high-resolution screens. Its optical sensor ensures precise tracking and works well on a variety of desk surfaces. Simple Management You can manage your keyboards and mice with the Dell Peripheral Manager software. You can quickly pair and manage devices, check battery and connectivity status, and download the latest firmware updates for the Dell Mobile Wireless Mouse. Product Features",Dell Mobile Wireless Mouse - MS3320W,Mouse,Optical,3,2.29 oz,N/a,,,,,,,,,,,,,,,,,,,,,
dell-multi-device-wireless-mouse---ms5320w.html,https://www.neostore.com.np/assets/uploads/MS5320W_2.jpg,https://www.neostore.com.np/assets/uploads/MS5320W.jpg,https://www.neostore.com.np/assets/uploads/MS5320W_3.jpg,https://www.neostore.com.np/assets/uploads/MS5320W_2.jpg,Dell Multi-device Wireless Mouse - MS5320W,"Work seamlessly across your desktop, laptop, and 2-in-1 with this sculpted wireless mouse.","Current Price: Rs.6,555, Original Price: Rs.6,900",Dell,,Black,,,1600,,Wireless,1 Year,,"Work seamlessly across your desktop, laptop, and 2-in-1 with this sculpted wireless mouse. The two Bluetooth 5.0 and 2.4GHz wireless connection methods allow you to switch easily across your laptop, desktop, or 2-in-1 with a click of a button. Easy pairing Instantly pair each device with your compatible Windows 10 system via Bluetooth without having to configure in Settings every time with Microsoft Swift Pair i. Compatible with a variety of Windows, Mac, Chrome, Linux, and Android operating systems, this mouse delivers maximum flexibility. Built to last Work longer without interruptions. With a battery that lasts up to 36 months, this mouse ensures you don’t have to be concerned with battery replacement. Simply reliable Should it become faulty during the 3-year warranty period, Dell Advanced Exchange Service ships you a replacement mouse the next business day. Tested and certified with Dell systems, this wireless mouse works perfectly with Dell PCs, making deployment simple and easy across the entire organization. Precise tracking Rapid responses via the 1600 DPI sensor help you navigate effortlessly, especially across your high-resolution 4K screen. Its optical sensor offers accurate tracking and is ideal for use on most desk surfaces. Dell Peripheral Manager (DPM) software enables you to manage your input devices and adjust to your preferred preset DPIs at 1000, 1600, 2400, or 4000. Quick access Intuitively positioned shortcut buttons on the sculpted mouse allow easy navigation across web pages and applications. Browse back and forth efficiently between pages onscreen effortlessly. Simple management The Dell Peripheral Manager software lets you customize and manage your keyboards and mice efficiently. Pair your devices and program shortcut buttons for easy access to your preferred applications and functions. You can also view battery and connectivity status, adjust DPI and get the latest firmware updates — whatever suits your business needs. Product Features",Dell Multi-device Wireless Mouse - MS5320W,Mouse,Optical,5,n/a,N/a,,,,,,,,,,,,,,,,,,,,,
dell-optical-mouse--ms116.html,https://www.neostore.com.np/assets/uploads/MS116_3.jpg,https://www.neostore.com.np/assets/uploads/MS116.jpg,https://www.neostore.com.np/assets/uploads/MS116_2.jpg,https://www.neostore.com.np/assets/uploads/MS116_3.jpg,Dell Optical Mouse- MS116,The Dell Optical Mouse – MS116 features optical LED tracking and wired connectivity providing a stellar performance day after day.,"Current Price: Rs.695, Original Price: Rs.730",Dell,,Black,,,1000 dpi,,6 ft,1 Year,,"The Dell Optical Mouse – MS116 features optical LED tracking and wired connectivity providing a stellar performance day after day. Therefore, improve your productivity at the office or at home–the Dell Optical Mouse will help keep you on task with accurate 1000 DPI optical tracking. Comfort that lasts The Dell Optical Mouse – MS116  is your desktop partner, designed to be pleasant to use for long periods of time. The Dell Optical Mouse is shaped and designed to fit the contours of your hand, with two buttons and a scroll wheel, thus making it simple to navigate around on–screen projects. Compatible with practically any system The Dell Optical Mouse works with virtually any computer that has a USB port. Use one mouse at work and a different one at home. Plug and play convenience It's as simple as plugging the Dell Optical Mouse into any accessible USB port and getting to work. At home or in the office The Dell Optical Mouse – MS116 is the perfect choice for either home or office use–wherever reliability, comfort and convenience are objectives. Contemporary aesthetic With a contemporary design aesthetic, the Dell Optical Mouse–MS116 seamlessly fits into any desktop environment. What's in the Box 1x Dell Optical Mouse–MS116",Dell Optical Mouse- MS116,Mouse,Optical,3,2m,N/a,,,,,,,,,,,,,,,,,,,,,
dell-optical-wireless-mouse---wm126.html,https://www.neostore.com.np/assets/uploads/WM126_3.jpg,https://www.neostore.com.np/assets/uploads/WM126_2.jpg,https://www.neostore.com.np/assets/uploads/WM126.jpg,https://www.neostore.com.np/assets/uploads/WM126_3.jpg,Dell Optical Wireless Mouse - WM126,The Dell WM126 Wireless Optical Mouse from Dell offers you everyday wireless performance with excellent battery life,"Current Price: Rs.2,025, Original Price: Rs.2,130",Dell,,Black,,,1000 dpo,,N/a,1 Year,,"The Dell Wireless Mouse-WM126 eliminates cable clutter by delivering all of the functionality of a mouse without the cables. Great for everyday use at home or in the office With the Dell Wireless Mouse-strong WM126's wireless connection, you can take your work with you wherever you go. You may also use a single receiver to connect up to six compatible devices, allowing you to connect wirelessly with your keyboards and mouse at home, in the office, or on the go. Work and play longer with a long battery life With a battery life of up to one year, you can rest easy knowing that you can keep powered up for longer almost anywhere. Comfortable design Work in comfort thanks to a contoured design that feels great in either hand. The mouse features three clickable buttons (left, right, and middle) and includes a scroll wheel for ease of use. Quick setup and easy installation Your mouse comes ready to plug and play via the included receiver. No software or drivers are required. However, if you wish to make full use of Dell Universal Pairing technology and connect up to 6 compatible devices with one receiver, please go to Dell.com/pair to download the required software. Compatibility Windows 7/8/8.1/10/Server, Linux, Android, Chrome What's in the Box",Dell Optical Wireless Mouse - WM126,Mouse,Optical,3,2.03 oz,Wireless,,,,,,,,,,,,,,,,,,,,,
dell-wired-mouse-with-fingerprint-reader---ms819.html,https://www.neostore.com.np/assets/uploads/MS819_3.jpg,https://www.neostore.com.np/assets/uploads/MS819.jpg,https://www.neostore.com.np/assets/uploads/MS819_2.jpg,https://www.neostore.com.np/assets/uploads/MS819_3.jpg,Dell Wired Mouse with Fingerprint Reader - MS819,"Safeguard your identity and login instantly, without needing to remember complex passwords, when you use the Dell Wired Mouse with Fingerprint Reader - MS819.","Current Price: Rs.9,400, Original Price: Rs.9,900",Dell,,Black,,,1000,,Wireless,1 Year,,"Keep yourself protected from spoofing attacks and unauthorized login to your computer with Windows Hello's accurate and secure password-free fingerprint sign-in to PCs. 256-bit AES offers enterprise-grade fingerprint encryption on your mouse, keeping your identity safe FIDO ready and GS-mark certified Compliant with FIDO the Dell Wired Mouse with Fingerprint Reader - MS819 lets you quickly and securely make an online payment with better identity authentication. GS-mark certification further qualifies that the Dell Wired Mouse with Fingerprint Reader is safe, reliable, and of high quality. Convenient plug and play When you're tired of struggling to remember a multitude of passwords, the integrated fingerprint reader on the mouse is ready to provide fast and simple access to your PC. Get started right away—simply plug the mouse into any available USB port to enable instant fingerprint recognition. Designed for comfort Arc-shaped, it is comfortable to use throughout the day and is suitable for a variety of mouse grips. What's in the Box Dell Wired Mouse with Fingerprint Reader - MS819",Dell Wired Mouse with Fingerprint Reader - MS819,Mouse,Optical,3,n/a,N/a,,,,,,,,,,,,,,,,,,,,,
dell-wireless-optical-mouse-wm118.html,https://www.neostore.com.np/assets/uploads/WM118.jpg,https://www.neostore.com.np/assets/uploads/WM118_2.jpg,https://www.neostore.com.np/assets/uploads/WM118_3.jpg,https://www.neostore.com.np/assets/uploads/WM118.jpg,Dell Wireless Optical Mouse WM118,"Enjoy the freedom of an easy and reliable wireless connection Designed to enhance daily productivity Long, efficient battery life","Current Price: Rs.1,495, Original Price: Rs.1,575",Dell,,Black,,,1000,,N/a,1 Year,,"Keep your workspace clean and clutter-free with reliable, plug & play wireless connectivity of the Dell Wireless Optical Mouse WM118. Effortlessly connect your mouse via 2.4GHz RF wireless with a Nano dongle that easily connects to a USB port, for reliable daily performance up to a 10m operational range. Designed To Enhance Daily Productivity Be productive with the Dell Wireless Mouse – WM118. Its ambidextrous form fits both right and left hands, allowing you to easily navigate your daily tasks with the 1000 dpi optical mouse comfortably. Long, Efficient Battery Life With 12 months of battery life, you no longer need to stress about running out of power. A low battery life indicator alerts you when your battery power is running low. Easy To Connect Simply plug the wireless Nano dongle into your PC’s USB port to start using the WM118. Long battery life Stay productive with 12 months of battery life so forget about battery how much your battery will last on the Dell Wireless Optical Mouse WM118.",Dell Wireless Optical Mouse WM118,Mouse,Optical,3,54g,Wireless,,,,,,,,,,,,,,,,,,,,,
digicom-dg-u33-wireless-mouse.html,https://www.neostore.com.np/assets/uploads/DG-U33-31.jpg,https://www.neostore.com.np/assets/uploads/DG-U33-2.jpg,https://www.neostore.com.np/assets/uploads/DG-U33-1.jpg,https://www.neostore.com.np/assets/uploads/DG-U33-31.jpg,Digicom DG-U33 Wireless Mouse,Silent Buttons 250 Hz Rate of Return 2.4 Wireless 20 Meter Wireless Range,"Current Price: Rs.2,050, Original Price: Rs.2,150",Digicom,,"Black, Red",,,1600DPI,,N/a,1 Year,,"Easy Plug and Play Digicom DG-U33 Wireless Mouse rapid plug and play function allows you to start using your mouse straight away. Without the need for additional driver installation, you can work with Digicom Wireless mouse. Compact Receiver The little nano receiver may easily be plugged into a USB port. As a result, the risk of the receiver being lost is reduced. Reliable 2.4G Wireless Connection The Digicom DG-U33 Wireless Mouse provides a strong, stable wireless connection that extends up to 20 meters. Because there will be almost no delays or dropouts, you will be able to work and play with confidence.  Moreover, it may differ greatly based on your computer setup and conditions. Comfortable For Hand The ergonomic design of this attractive and small wireless mouse makes it suited for tough operation. Because of its traditional color options and light portable design, the Digicom DG-U33 is also a great mouse to use for your job. Silent Button Digicom DG-U33 delivers enhanced comfort for the right hand, outstanding accuracy, extended battery life, and broad compatibility. An independent lab measured the dBA of a left-click at 1m of clicking noises. This means complete concentration for you and a calmer atmosphere for others around you. Up to 12 Months Battery Life The Digicom DG-U33 Wireless Mouse is energy efficient. Thanks to Digicom energy-saving technology and power switch. So, this allows you to use your mouse without interruption for up to 12 months. You can also check our Keyboard Products.",DG-U33,Mouse,Optical,,N/a,,,6,"2.4 Wireless, 250 Hz Rate of Return",,,,,,,,,,,,,,,,,,
digicom-wire-mouse-dg-w16.html,https://www.neostore.com.np/assets/uploads/DG-W16-3.jpg,https://www.neostore.com.np/assets/uploads/DG-W16.jpg,https://www.neostore.com.np/assets/uploads/DG-W16-2.jpg,https://www.neostore.com.np/assets/uploads/DG-W16-3.jpg,Digicom Wire Mouse | DG-W16,1500 DPI 5 million clicks Plug and Play 250Hz Rate of Return,"Current Price: Rs.585, Original Price: Rs.615",Digicom,,Black-Red,,,1500,,N/a,1 Year,,"Plug and Play Simplicity Digicom Wire Mouse DG-W16 is ready whenever you desire. Simply attach the receiver to your device's USB port and you'll be up and running in seconds. Its compact dimensions and excellent mouse handling make it ideal for busy desks and small offices. Have a good time learning about communication devices. Easy Navigate & Control The DG-W16 Wired Mouse's line-by-line scrolling and optical tracking make navigation a breeze. The optical sensor, in particular, allows for accurate and smooth cursor control on virtually any surface. This results in fewer irritants and more accurate mouse movements. Comfort in Style The ergonomic design of this attractive and small wired mouse makes it suitable for difficult operation. Because of its classic color options and light portable design, the Digicom DG-W16 is also a great mouse to use for your job. Durability The Digicom Wire Mouse is a gear that provides amazing performance even during long working sessions. Each of the three buttons is fully tested in a laboratory for up to five million clicks. It is verified in the field that each of the three buttons could resist more than one strike. 1500 DPI Optical Sensor A 1500 DPI sensor is included in the optical sensor of the Digicom Wired Mouse. This helps you to easily retain control during chaotic battles. Check Our Keyboard Category Here.",DG-W16,Mouse,Optical,,N/a,,,3,5 Million Clicks,,,,,,,,,,,,,,,,,,
digicom-wireless-mouse-dg-m40.html,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-25.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/2-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-24.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/1-25.jpg,DIGICOM Wireless Mouse DG-M40,Sensitive mouse click with less noise 12 Months Battery Life Rate of Return: 250 Hz Smooth & Stable 1600 DPI Comfortable Hand Grip,"Current Price: Rs.1,725, Original Price: Rs.1,815",Digicom,,Nepal Flag,,,1600,,N/a,1 Year,,"Easy To Navigate And Control The Digicom DG-U40 Wireless Mouse is powered by line-by-line scrolling, and optical tracking makes navigation easy. The optical sensor, in particular, allows for precise and smooth cursor control on nearly any surface. This results in fewer allergens and more precise mouse movements. Plug & Play Simplicity DG-U40 Mouse Of Digicom is available anytime you want. Simply plug the receiver into the USB port of your device to get it up and running in seconds. Its small size and smooth mouse control make it perfect for busy workstations and confined offices. Enjoy yourself while learning about wireless technology. Less Noise, More Focus Keep your attention on your task instead of being distracted by clicking noise. All while ensuring that the mouse performs to its true ability. That is, you may hear almost nothing but feel every click. Reliable 2.4G Wireless The Digicom DG-U40 Wireless Mouse offers a robust, reliable wireless connection up to 20 meters away. You'll be able to work and play with confidence because there will be almost no delays or dropouts. Although it may range slightly depending on your computing conditions and environment. Comfortable Shape A comfortable, contoured shape matches the natural curvature of your hand, allowing you to work for extended periods of time. The mouse is compact and wireless, and it fits easily in a bag beside your laptop, allowing you to work from anywhere. 1600 DPI Sensor As sensitive as you want, you can adapt the Digicom DG-U40 Multi-Mode Wireless Mouse mouse. It helps to provide a responsive and smooth cursor. You will enjoy responsive and smooth cursor control with the 1600 DPI invisible tracking engine. Up to 12 months battery life The on/off switch and Digicom's energy-saving technologies allow you to use the Digicom DG-U40 mouse for up to 12 months without changing the batteries.",DG-U40,Mouse,Optical,,56 Grams,,,3,N/a,,,,,,,,,,,,,,,,,,
digicom-wireless-mouse-dg-u32.html,https://www.neostore.com.np/assets/uploads/DG-U32-3.jpg,https://www.neostore.com.np/assets/uploads/DG-U32-2.jpg,https://www.neostore.com.np/assets/uploads/DG-U32.jpg,https://www.neostore.com.np/assets/uploads/DG-U32-3.jpg,Digicom Wireless Mouse DG-U32,250Hz Rate of Return 20 Meter Wireless Range 2.4G Wireless Silent Buttons,"Current Price: Rs.1,285, Original Price: Rs.1,355",Digicom,,Black | Red,,,N/a,,N/a,1 Year,,"Silent Buttons Digicom Wireless Mouse DG-U32 comes with quiet touch technology. This decreases noise levels by over 90%. An independent lab measured the left click dBA at 1m of clicking noises while ensuring that the mouse operates properly. Comfortable in hand The Digicom Wireless Mouse DG-U32 unbalanced design has improved to direct your right hand into a natural placement. Moreover, the soft rubber surface with various designs increases touch enjoyment. As a result of all of this, you will comfortably work or study for long periods of time. Easy Navigation The technology has high accuracy and accuracy, as well as the ability to track and scroll. Additionally, the DG-U32 also included a rubber scroll wheel with a tactile feel that enables exact line-by-line scrolling. Also, Digicom's high precision tracking enables next-level cursor control and navigation on virtually any surface. 2.4 GHz Reliable Wireless Connection With the Digicom Wireless Mouse DG-U32, you can enjoy worry-free wireless. The tested advanced 2.4 GHz standard provides a range of up to 20 meters long range and 360° coverage. 12 Months Long Battery Life Digicom's energy-saving technologies, along with the on/off switch, enable you to use the digicam wireless mouse for up to 12 months without replacing the batteries. Also, Check our Keyboard Categories.",DG-U32,Mouse,Optical,,N/a,,,3,12 Months Battery Life,,,,,,,,,,,,,,,,,,
