html_filename,image1,image2,image3,image4,product_title,short_description,price,Model,CPU,Flash,DDR,2.4G Frequency,2.4G WIFI Protocol,Data Rate,4G Antenna,2.4G WIFI antenna,SSID Hidden,Maxi end users access,TX power,WAN,LAN,SIM Card,Water-Proof Level,DC,POE,Reset,LED indicator,Power consumption,Size,Working Environment,"LTE Frequency Bands
			EU Version","LTE Frequency Bands
			US Version",Wi-Fi,Network,Firewall,Other functions,Warranty,label,description2,DRAM/FLASH,Interface,Antenna,Gain,Wi-Fi Frequency,Wireless Standards,Frequency,Signal Rate,Transmit Power,Wireless Modes,Wireless Security,Button,External Power Supply,WAN Type,DHCP,Dynamic DNS,Guest Network,NAT,VPN,Package Contents,System Requirements,Processor,VPN Client,Dimensions,Weight,Form,UMTS,Uplink,Diversity,3G,Protocol,Channel,802.11g,802.11n,USIM,"Mobile
			Service",Router,Capacity,Endurance,MAC OS,Linux,Browser,Working Temperature,Storage Temperature,Meterial,Product Name,Product Model,Standards and Protocols,Reception Sensitivity,Ports,Power,Environment,Buttons,LED Lights,Dimension (WxDxH ),Management,Dimension (W×D×H),Dimensions ( W x D x H ),Wireless Functions,Dimension (W*D*H),Brand,Wireless Frequency,Number of Antennas,warranty,Network Interface,Wireless Protocol,Antennas,Recommended Bandwidth,MIMO,Max. WAN Ports,Recommended Users,Power Supply,RAM,Storage,Recommended Concurrent Users,PoE Out,Operating Temperature,Dimension,Power Consumption,Certifications,Recommended Concurrent Clients,Installation,Wi-Fi Standards,Max. Wi-Fi Speed,Antenna Gain,Advanced Technology
cudy-lt300-4g-lte-outdoor-wifi-router.html,https://www.neostore.com.np/assets/uploads/LT300.jpg,https://www.neostore.com.np/assets/uploads/LT300_3.jpg,https://www.neostore.com.np/assets/uploads/LT300_2.jpg,https://www.neostore.com.np/assets/uploads/LT300.jpg,Cudy LT300 4G LTE Outdoor WiFi Router,"● 150/50Mbps 4G LTE CAT 4
● 300Mbps Wi-Fi for a smoother experience
● IP65 Waterproof and Dustproof
● 24V Passive PoE or 12V DC Power Supply
● High gain antennas expand coverage
● VPN client builds security connections
● Flexible WAN/LAN port for dual connectivity
● Compatible with 15+ DDNS providers","Current Price: Rs.9,785, Original Price: Rs.10,300",LT300-Outdoor,MT7628DAN,SPI NOR 8MB,64MB,2.4GHz - 2.484GHz,802.11b/g/n,300Mbps,Gain: 3dbi,Gain: 2dbi,Support,30+,< 22 dBm,1 * 10/100M RJ45 WAN port support PoE,1 * 10/100M RJ45 LAN port,1 * 4G SIM card slot,IP65,12V/1A,24V/0.5A,Reset × 1 (Press 10 seconds to revert to factory settings),"POWER, WAN, LAN, WLAN, Signal strength * 4",< 11W,230mm * 75 mm * 40 mm,"Working temperature: -30°C to 55°C
			Limited working temperature: -40°C to 70°C 
			Storage Temperature: -40°C to 70°C
			Humidity: 5%-95% (No-considering)","LTE-FDD: B1/B3/B5/B7/B8/B20/B28
			LTE-TDD: B38/B40/B41
			WCDMA: B1/B5/B8
			GSM/EDGE: B3/B8","LTE-FDD: B2/B4/B5/B12/B13/B14/B66/ B71
			WCDMA: B2/B4/B5","Support Auto Channel, Guest SSID, SSID hide, Wireless MAC ﬁlter, white and black list","PPPoE, Automatic IP, Static IP, L2TP, PPTP, 4G
			Support automatically switches between WAN/ISP and 4G
			Support VPN: PPTP, L2TP WireGuard, OpenVPN and Zerotier","Support NAT, URL Filter, MAC Filter and Network Service Filter
			Support DoS attack protection, SYN ﬂood attack
			WAN PING, SSH, HTTP Access","NTP and account setup
			Port forwarding
			Virtual Server
			Watchdog
			DMZ
			DDNS",2 year,,"    4G Band Lock 4G band lock makes it possible to lock the 4G working frequency to one or several bands to keep the stability of operation.  VPN support With built-in PPTP, L2TP, WireGuard and OpenVPN Clients, this router can easily establish a connection to VPN Server to transport all your online data and traffic, securing it with its encryption at the same time.  WAN Failover Configure LAN/WAN port as WAN and plug an ethernet cable with internet to the LAN/WAN port, then the LAN/WAN port would be the main source of the internet, while the 4G network would be worked as a backup. If the WAN/LAN Internet service fails, it will switch to 4G service automatically. Share Your 4G LTE Network to Wherever needs it  Home With a 4G LTE modem and fast WiFi built-in, all you need to do is insert a micro SIM card and turn on the Router. Enjoying stable internet connections at home is simple as a breeze.  Office Use as a primary or backup internet connection. Provides high-speed Internet for office. Can also be a backup automatically if your existing Internet service fails, making your office network always online.  Remote Area Simply insert a SIM card and get all your Wi-Fi devices connected to the internet, very convenient for places where cable internet is unavailable, such as your holiday cabins, remote cameras, boat and RV.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-lt500-4g-lte-ac1200-dual-band-wi-fi-router.html,https://www.neostore.com.np/assets/uploads/LT500_.jpg,https://www.neostore.com.np/assets/uploads/LT500_4.jpg,https://www.neostore.com.np/assets/uploads/LT500_3.jpg,https://www.neostore.com.np/assets/uploads/LT500_2.jpg,Cudy LT500 4G LTE AC1200 Dual Band Wi-Fi Router,"● Up to 150 / 50Mbps LTE speed
● AC1200 Wi-Fi for a smoother experience
● High gain antennas expand coverage
● PPTP/L2TP/OpenVPN/WireGuard/IPsec/Zerotier VPN
● Flexible WAN/LAN port for dual connectivity
● Compatible with 15+ DDNS providers
● DNS over Cloudflare/NextDNS/Google","Current Price: Rs.11,850, Original Price: Rs.12,470",4G LTE AC1200 Dual Band Wi-Fi Router,,,,,,,,,,,,,,,,,,,,,,,LTE-FDD: B1/B3/B5/B7/B8/B20/B28,LTE-FDD: B2/B4/B5/B12/B13/B14/B66/ B71,,,,,2 Year,,"   Share the 4G LTE network wherever you want LT500 uses the latest generation of 4G LTE technology to achieve speeds of up to 150 Mbps when downloading and 50 Mbps when uploading. You can also connect to games, streaming and more using Wi-Fi at a maximum speed of 867Mbps on 5GHz and 300 Mbps to 2.4 GHz.   FDD + TDD Support FDD and TDD, meet the needs of various ISPs and provide a good user experience for customers. Support most cellular operators around the world.  VPN The VPN client runs a secure and private tunnel from Cudy to the remote offices and teleworkers over the Internet. Supports: PPTP/L2TP/OpenVPN/WireGuard/IPsec/Zerotier  15+DDNS Compatible with more than 15 DDNS providers that allow you to manage your router remotely easily. You can access the Cudy administration page with a common name in the URL even though the IP address changes.  High Gain Antennas High-gain antennas increase the sensitivity of the router and establish connections over longer distances. Provide strong penetration into walls.   Office Network If you are working in LAN mode, LT500 is just a normal 4G LTE router. While working in WAN mode, the LT500 can maintain 4G and WAN connections at the same time and preferably provide the Internet via wired ports. The 4G network is just a backup.  Home Network LT500 uses the latest generation of 4G LTE technology to achieve speeds of up to 150Mbps when downloading and 50 Mbps when uploading. You can also connect to games, streaming, and more using Wi-Fi at a maximum speed of 867Mbps on 5GHz and 300Mbps to 2.4GHz.  Vacation Network Insert the SIM card (switch on) and enjoy the Internet! It is very easy to use when you are on vacation. Take it to your holiday home and enjoy surfing online. ",128MB DDR2 / 16M SPI Flash,3 x RJ45 10M/100M  LAN Ethernet interfaces,2 * WiFi Antennas and 2 * LTE Antennas,5dBi,"2.4GHZ, 5GHz",IEEE 802.11ac/a/n/b/g,2.4GHz and 5GHz,"867Mbps (5GHz), 300 Mbps (2.4GHz)",CE: <20dBm,"Enable/Disable Wireless Radio, WMM","WEP, WPA/WPA2, WPA-PSK/WPA2-PSK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-m1200-ac1200-wi-fi-whole-home-mesh-solution-2-pack.html,https://www.neostore.com.np/assets/uploads/M12001.jpg,https://www.neostore.com.np/assets/uploads/M1200_3.jpg,https://www.neostore.com.np/assets/uploads/M1200.jpg,https://www.neostore.com.np/assets/uploads/M12001.jpg,Cudy M1200 AC1200 Wi-Fi Whole Home Mesh Solution 2-Pack,"● AC1200 Mesh Wi-Fi Solution
● 867Mbps on 5GHz and 300Mbps on 2.4GHz
● Seamless Roaming, Whole Home Coverage
● 10/100Mbps Ethernet Ports + 2 Internal Antennas
● VPN Server and VPN Client Support","Current Price: Rs.9,975, Original Price: Rs.10,500",,,128Mbit (16MB),1Gbit (128MB),,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"Work and play securely with the Cudy M1200 AC1200 Dual-Band Whole Home Mesh Wi-Fi System. The Cudy M1200 seamlessly connects your entire home with reliable Wi-Fi. Finally, you can stream, surf, and game from anywhere. Say goodbye to dead spots and buffering without buying a brand-new Wi-Fi ecosystem. The M1200 can help you create a more flexible and cost-effective network to cover your entire family. With a built-in PPTP/L2TP/OpenVPN/WireGuard VPN Client, this router can easily establish a connection to the VPN server to transport all your online data and traffic. It can be easily configured to secure it with encryption and DNS over TLS at the same time to boost security. ",,1 × 100/10Mbps WAN Port,2 × Internal Omni-Directional Antennas,,,IEEE 802.11/ac/n/a 5GHz,"5GHz, 2.4GHz","867Mbps (5GHz), 300Mbps (2.4GHz)","CE: <20dBm(2.4GHz), <23dBm(5.15GHz~5.25GHz)","Enable/Disable Wireless Radio, WMM","WEP, WPA/WPA2, WPA-PSK/WPA2-PSK","Pair Button, Reset Button",12V/1A,Dynamic IP/Static IP/PPPoE,"Server, DHCP Client List, Address Reservation",Compatible with 15 more DDNS providers,2.4GHz guest network × 1,"Port Forwarding, Port Triggering, UPnP, DMZ",PPTP/L2TP/OpenVPN/WireGuard/IPSec/Zerotier,1-Pack AC1200 Wi-Fi Mesh Router,"Microsoft Windows 98SE/NT/2000/XP/Vista™/7/8/8.1/10, MAC OS,
NetWare, UNIX or Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-m1800-ax1800-wifi-6-whole-home-mesh-solution-2-pack.html,https://www.neostore.com.np/assets/uploads/M1800_3.jpg,https://www.neostore.com.np/assets/uploads/M1800_2.jpg,https://www.neostore.com.np/assets/uploads/M1800.jpg,https://www.neostore.com.np/assets/uploads/M1800_3.jpg,Cudy M1800 AX1800 WiFi-6 Whole Home Mesh  Solution 2-Pack,"● AX1800 Mesh Wi-Fi 6 Solution
● 1201Mbps on 5GHz and 574Mbps on 2.4GHz
● Seamless Roaming, Whole Home Coverage
● 2 Gigabit Ethernet Ports + 4 Internal Antennas
● MU-MIMO, Beamforming, WPA3
● PPTP/L2TP/OpenVPN/WireGuard/IPSec/Zerotier
● Compatible with 15 more DDNS providers.","Current Price: Rs.21,185, Original Price: Rs.22,300",,,128Mbit (16MB),2Gbit (256MB),,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"Work and play securely with the Cudy M1800 AX1800 Whole Home Mesh WiFi System. The Cudy M1800 seamlessly connects your entire home with reliable Wi-Fi. Finally, you can stream, surf, and game from anywhere. Say goodbye to dead spots and buffering without buying a brand new Wi-Fi ecosystem. The M1800 can help you create a more flexible and cost-effective network to cover your entire family. With a built-in PPTP/L2TP/OpenVPN/WireGuard VPN Client, this router can easily establish a connection to the VPN server to transport all your online data and traffic. It can be easily configured to secure it with encryption and DNS over TLS at the same time to boost security.  ",,1 × 10/100/1000Mbps WAN Port,4 × Internal Omni-Directional Antennas,,,IEEE 802.11ax/ac/n/a 5GHz,"5GHz, 2.4GHz","1201Mbps (5GHz), 574Mbps (2.4GHz)","CE: <20dBm (2.4GHz), <23dBm (5.15GHz~5.25GHz)","Enable/Disable Wireless Radio, WMM","WEP, WPA/WPA2, WPA-PSK/WPA2-PSK,WPA3","Pair Button, Reset Button",12V/1A,Dynamic IP/Static IP/PPPoE,"Server, DHCP Client List, Address Reservation",Compatible with 15 more DDNS providers,2.4 GHz guest network × 1,"Port Forwarding, Port Triggering, UPnP, DMZ",,3-Pack AX1800 Wi-Fi6 Mesh Router,"Microsoft Windows 98SE/NT/2000/XP/Vista™/7/8/8.1/10, MAC OS,
NetWare, UNIX or Linux",Dual-Core Processors,PPTP/L2TP/OpenVPN/WireGuard/IPSec/Zerotier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-mf4-4g-lte-mobile-wi-fi.html,https://www.neostore.com.np/assets/uploads/MF4_3.jpg,https://www.neostore.com.np/assets/uploads/MF4_2.jpg,https://www.neostore.com.np/assets/uploads/MF4.jpg,https://www.neostore.com.np/assets/uploads/MF4_3.jpg,Cudy MF4 4G LTE Mobile Wi-Fi,"● Share 4G connection with up to 150 Mbps download/50 Mbps upload speeds
● Support FDD and TDD bands
● Supports up to 11 devices simultaneously (10 Wireless+1 Wired)
● 2000 mAh battery for 8 hours of usage","Current Price: Rs.8,125, Original Price: Rs.8,550",4G LTE Mobile Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,Wi-Fi Status Indicator,4G/3G/2G Network Status Indicator,,,,,"    Up to 150/50 Mbps speed Uses the latest generation of 4G LTE technology to achieve speeds of up to 150 Mbps download and 50 Mbps upload.  10+ devices connect Create a Wi-Fi hotspot and connect up to 10 devices, including phones, laptops, tablets, game consoles, and more. . 7 working hours Powerful, rechargeable 2000 mAh battery with up to 7 hours of operation to help you stay connected longer.",,,Internal,,,,2.4GHz,,,,,,,,,,,,,,,,,97 x 61 x 15.5mm,92g,MiFi / Pocket Router,Power Class 3 (24 +1.7/-3.7dBm),QPSK/16-QAM,"Internal, UMTS Optional",3GPP R7 Downlink/Uplink up to 42Mbps/5.76Mbps,802.11b/g/n,1~13,Up to 54 Mbps,Up to 150 Mbps,"Single, 4FF",Automatic APN matching according to USIM,USB RNDIS Device,2000mAh,5-6 hours (normal network situation),10.7+,Ubuntu 13.04+,"IE9+, Firefox, Google Chrome, Safari, Opera",0°C to 35°C,-20°C to 60°C,RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-re1200-ac1200-dual-band-range-extender.html,https://www.neostore.com.np/assets/uploads/RE1200_3.jpg,https://www.neostore.com.np/assets/uploads/RE1200.jpg,https://www.neostore.com.np/assets/uploads/RE1200_2.jpg,https://www.neostore.com.np/assets/uploads/RE1200_3.jpg,Cudy RE1200 AC1200 Dual Band Range Extender,"● 2.4 GHz 300Mbps+5 GHz 867Mbps Wi-Fi Speed
● Boost Wi-Fi coverage up to 12,000 sq.ft
● Work with any standard router or gateway
● Easily expand wireless coverage at a push of the WPS button
● Fast Ethernet ports to connect wired devices
● External antennas for faster and more reliable Wi-Fi
● 2-in-1 WiFi Extender / Access Point
● Easy Setup Assistant with multi-language support","Current Price: Rs.4,370, Original Price: Rs.4,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"  Smart Indicators  The smart signal indicator lets you see signal strength from the existing router at a glance. Easily to find the best place to position your range extender to extend your Wi-Fi. High Gain Antennas  2x5dBi dual band high gain antennas boost sensitivity of the WiFi extender, create connections over greater distances, providing powerful penetration through walls. ",,,2X5dBi antennas,,,,2.4GHz & 5GHz (11ac),5GHz: Up to 867Mbps,,,"WPA-PSK/WPA2-PSK, OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200Mbps Wi-Fi Range Extender,RE1200,IEEE 802.11ac /n/g/a/b,5GHz: 11a 6Mbps: -96dBm@10% PER,1 10/100Mbps self-adaptive LAN,Direct plug-in power supply (110V-240V),Operating Temperature: 0°C~50°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-re1800-ax1800-dual-band-wi-fi-6-mesh-range-extender.html,https://www.neostore.com.np/assets/uploads/RE1800_21.jpg,https://www.neostore.com.np/assets/uploads/RE1800.jpg,https://www.neostore.com.np/assets/uploads/RE1800_31.jpg,https://www.neostore.com.np/assets/uploads/RE1800_21.jpg,Cudy RE1800 AX1800 Dual Band Wi-Fi 6 Mesh Range Extender,"● 2.4 GHz 574Mbps+5 GHz 1201Mbps Wi-Fi Speed
● Work with any standard router or gateway
● Easily expand wireless coverage at a push of the WPS button
● Gigabit Ethernet port to connect wired devices
● External antennas for faster and more reliable Wi-Fi
● 2-in-1 WiFi Extender / Access Point
● Easy Setup Assistant with multi-language support","Current Price: Rs.9,110, Original Price: Rs.9,590",RE1800,,128Mbit (16MB),1Gbit (128MB),,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"  Dual Core CPU Powerful Dual-Core Processor for High Performance. Powerful CPU ensures smooth 4K UHD streaming to smart TVs, mobile devices and gaming consoles without buffering. 16MB Flash and 128MB DDR3 Inside ensure the continuous operation of the operating system, makes the router runs faster and provides more possibilities for function expansion.  High Gain Antennas 2x5dBi dual band high gain antennas boost sensitivity of the WiFi extender, create connections over greater distances, providing powerful penetration through walls.  Good Compatibility Fully unlock the potential of your Wi-Fi 6 devices and backward compatible with existing 802.11 ac/a/b/g/n devices. If you already have a WiFi 6 router, then cudy WiFi 6 extender is your best option, while if you don't have an WiFi 6 router for now, Cudy RE1800 is also suitable for you, it is not only compatible with future-oriented WiFi6 router, but also compatible with existing WiFi5 and WiFi 4 routers and devices.  ",,,5dBi antennas,,,,2.4GHz & 5GHz (11ax),5GHz: Up to 1201Mbps,,,WPA-PSK / WPA2-PSK / WPA3,,,,,,,,,,,MT7621A+MT7905DAN +MT7975DN,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE 802.11ax /IEEE 802.11ac /IEEE 802.11n/,,1 10/100/1000Mbps self-adaptive LAN,Direct plug-in power supply (100V-240V),Operating Temperature: 0℃~40℃,Reset Button / WPS Button,WiFi / WPS / Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-wr1200-ac1200-dual-band-smart-wi-fi-router.html,https://www.neostore.com.np/assets/uploads/WR1200_3.jpg,https://www.neostore.com.np/assets/uploads/WR1200.jpg,https://www.neostore.com.np/assets/uploads/WR1200_2.jpg,https://www.neostore.com.np/assets/uploads/WR1200_3.jpg,Cudy WR1200 AC1200 Dual Band Smart Wi-Fi Router,"● AC1200 Dual Band Wi-Fi Router
● 5dBi High Gain Antennas for large home coverage
● Built-in Firewall protects your home network
● Guest network protects your privacy
● Support VPN Client: PPTP/L2TP/OpenVPN/WireGuard
● Compatible with IPv6
● Easy wireless security encryption at a push of the WPS button","Current Price: Rs.3,885, Original Price: Rs.4,090",,,64Mbit (8MB),512Mbit (64MB),,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"    With wireless speeds of up to 1.2Gbps, Cudy WR1200 provides a better experience for online gaming and HD video streaming. The Latest Wi-Fi Standard at Streaming Speeds   More than a Router Not only a router but also a range extender   ",,1 × 100/10 Mbps WAN Port,4 × Fixed Omni-Directional Antennas,,,IEEE 802.11ac/n/a 5 GHz,"5 GHz, 2.4 GHz","867Mbps (5GHz), 300Mbps (2.4GHz)","CE: <20dBm (2.4GHz), <23dBm (5GHz)","Enable/Disable Wireless Radio, WMM","WEP, WPA/WPA2, WPA-PSK/WPA2-PSK","WPS Button, Reset Button",12V/1A,Dynamic IP/Static IP/PPPoE,"Server, DHCP Client List, Address Reservation",Compatible with 15 more DDNS providers,2.4GHz guest network × 1,"Port Forwarding, Port Triggering, UPnP, DMZ",,AC1200 Wi-Fi Router,"Microsoft Windows 98SE/NT/2000/XP/Vista™/7/8/8.1/10, MAC OS,
NetWare, UNIX or Linux",,PPTP/L2TP/OpenVPN/WireGuard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Operating Temperature: 0°C~40°C (32°F~104°F)
			Operating Humidity: 10%~90%RH (non-condensing)",,,221*134.6*27.9mm,Parental Control,"220 × 143.7 × 30 mm
			8.66 × 5.66 × 1.18 inch
			(Antenna not Included)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-wr1300-ac1200-dual-band-wi-fi-router.html,https://www.neostore.com.np/assets/uploads/WR1300_2.jpg,https://www.neostore.com.np/assets/uploads/WR1300_3.jpg,https://www.neostore.com.np/assets/uploads/WR1300_.jpg,https://www.neostore.com.np/assets/uploads/WR1300_2.jpg,Cudy WR1300 AC1200 Dual Band Wi-Fi Router,"● AC1200 Dual Band Wi-Fi Speed
● High-Performance Dual Core CPU
● 16MB Flash and 128MB DDR3
● 5 x Gigabit Ethernet Ports
● 4 x 5dBi High Gain Antennas
● VPN and DDNS Support
● 5-IN-1 WiFi Router/ Mesh/Repeater/ WISP/ Access Point","Current Price: Rs.6,260, Original Price: Rs.6,590",,,16MB,128MB,,,,,,,,,,,,,,,,,,,,,,,,,,2 Year,,"   Concurrent Dual Band WiFi 2.4GHz provides extremely long range, 5GHz reaches 867Mbps, ideal for gaming and 4K streaming.Simple tasks like web browsing can be handled by the 2.4GHz band, while bandwidth intensive tasks like online gaming or HD video streaming can be processed by the 5GHz band at the same time.  5-IN-1 WiFi Router ● Wi-Fi Router
● Wi-Fi Extender
● Access Point
● WISP Router
● Mesh Mode  High-Performance CPU and Antennas Powerful Dual-Core CPU ensures smooth 4K UHD streaming to Smart TVs, mobile devices, and gaming consoles without buffering. 4x5dBi High gain antennas boost the sensitivity of the WiFi router, and create connections over greater distances, providing powerful penetration through walls.    Built-in VPN Clients With built-in PPTP/L2TP VPN Clients, this router can easily establish a connection to VPN Server to transport all your online data and traffic, securing it with its encryption at the same time. You can use this function to connect your home network with your work network or school network. You only need to configure the router once, and all the devices in the network can be connected. Greatly facilitate your work, study, and life.  15+ DDNS Support When you apply for an Internet package from an operator, the operator will usually assign you an IP at random. A random and frequently changing IP cannot be used to remotely manage home networks and equipment. You can bind your home IP address to a custom domain name through the DDNS function. No matter how the IP changes, the domain name can point to your network, which makes remote management possible.  OpenWrt Ready 16MB Flash and 128MB DDR3 ensure the continuous operation of the operating system, makes the router runs faster and provides more possibilities for function expansion. And as being built with such a large flash and DDR, WR1300 makes it possible to install OpenWrt system. You can get related software from Cudy official website.  ",,1 × 1000/100/10 Mbps WAN Port,4 × Fixed Omni-Directional Antennas,,,IEEE 802.11ac/n/a 5 GHz,"5 GHz, 2.4 GHz","867Mbps (5 GHz), 300Mbps (2.4 GHz)","CE: <20dBm (2.4 GHz), <23dBm (5.15 GHz~5.25 GHz)","Enable/Disable Wireless Radio, WMM","WEP, WPA/WPA2, WPA-PSK/WPA2-PSK","WPS Button, Reset Button",12V/1A,Dynamic IP/Static IP/PPPoE,"Server, DHCP Client List, Address Reservation",Compatible with 15 more DDNS providers,2.4GHz guest network × 1,"Port Forwarding, Port Triggering, UPnP, DMZ",PPTP/L2TP/OpenVPN/WireGuard/IPsec/Zerotier,AC1200 Wi-Fi Router,"Microsoft Windows 98SE/NT/2000/XP/Vista™/7/8/8.1/10, MAC OS,
NetWare, UNIX or Linux",Dual-Core CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parental Control,"205 × 138 × 38 mm
			8.06 × 5.41 × 1.51 inch
			(Antennas not included)",204.8 x 137. 5 x 38. 3mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
