html_filename,image1,image2,image3,image4,product_title,short_description,price,Model,PoE standard,Interface,key function,PoE port,PoE Total,Power supply,RJ45 PoE power supply,PoE output-port,Indicator,Network media,MAC Address Table,jumbo frame,Packet buffer,Transfer Mode,Packet forwarding rate,Bandwidth,Fan,Device Dimension,Machine weight,Input Voltage,Output Voltage,Operating Temperature,Storage Temperature,Operating Humidity,Storage Humidity,Surge Protection,Certification,MTBF,Electrostatic standard,label,description2,Mode,Voltage Range,Consumption,Transmission Distance,Switching Capacity,Transfer Rate,MAC Adsress,Blinks,Off,PoE Pin Assignmnet,Humidity Non Condesing,Color,Ethernet,Throughput,Packet Buffer,MAC Address,Jumbo Frame,Network protocol,PoE Protocol,Industry Standard,Network Medium,Optical Media,Working Environment,PWR（power supply）,Mode（DIP）,1-6 Gree（Link&Data）,DIP Switch,Product Dimension,Package Dimension,N.W,G.W,Packing Info,Package List,Warranty,Power,LED Indicators,PWR,1-8 Green,Product Name,Product Model,Chipset,Standards,Number of Ports,Network Media (Cable),Transfer Method,Packet Forwarding Rate,Per Device,Power Supply,Power Consumption,Dimensions ( W x D x H ),Environment,Standard configurati,Structure Size,Power Voltage,Brand,Number of ports,Port Type,Dimension,Ports,PoE,Switching capacity,Forwarding rate,MAC address table,Maximum VLAN,Port surge,Dimensions (W x D x H),Weight (With package),Layer type,HARDWARE FEATURES,Network Media,Fan Quantity,Exchange Capacity,Mac Address Table,Power Adapter,Packet Buffer Memory,Port VLAN,Switch Dimension,Gross Weight,Net Weight,Package Contents,Working Temperature,Working Humidity,Standard,PoE Ports,PoE Power Budget,Hi-PoE 60W,LED Indicator,250m,PoE Watchdog,Protection Level,Package Content,Transmission Method,Advanced Functions,Interfaces,Physical environments,Cooling,Power consumption,,PoE ports ( RJ45 ),Mac Addresses Table,Dimensions,Temperature and humidity,Switching method,PoE ports (RJ45),mac address table,Temperature and Humidity
cudy-fs1006p-6-port-10-100m-poe-switch.html,https://www.neostore.com.np/assets/uploads/FS1006P.jpg,https://www.neostore.com.np/assets/uploads/FS1006P_2.jpg,https://www.neostore.com.np/assets/uploads/FS1006P.jpg,https://www.neostore.com.np/assets/uploads/FS1006P_2.jpg,Cudy FS1006P 6-Port 10/100M PoE+ Switch,"● Complies with IEEE802.3af/at Standard
● Supports PoE power up to 32W for each PoE port
● Auto detect non PoE device and PoE device
● Power prioritization guarantee power supply of key nodes
● CCTV/VLAN mode switch, remote power and data up to 250m
● Supports IEEE802.3 x full duplex / half duplex ﬂow control
● Supports storage and forward for Data exchange","Current Price: Rs.5,035, Original Price: Rs.5,300",FS1006P,IEEE802.3af/at,6*10/100Mbps RJ45 port,CCTV,1-4,60W,65W,Mode A Anode1/2 Cathode3/6,Max 32W,"PWR, LNK/ACT, PoE","10BASE-T: UTP category 3, 4, 5 cable(≤100m)；100BASE-TX: UTP category 5, 5e cable(≤100m)","2K, Automatic study, automatic updates",1528K Bytes,768K bit,Store-and-forward,0.89Mpps,1.2Gbps,Fanless,168*93*32mm,<1kg,AC 100-240V 50/60Hz,DC:55V/1.5A,0°C ~ 40 °C,-40 °C ~ 70 °C,10% ~ 90% non-condensing,5% ~ 90% non-condensing,±4KV,"CE, FCC Class A",>50000 hour,"Contact 4KV, air 6KV",,"    4-Port PoE + 2-Port Uplink ● 10/100 Mbps Ethernet Ports
● IEEE 802.3af/802.3at compliant
● 60W total PoE Power supply.
● Ideal for installations of 4 PoE/PoE+ devices
● Pin assignment: alternative 1/2 (+), 3/6 (-).  Rack Mount & Wall Mount & Desktop ● Provide a variety of installation methods for easy deployment in any environment
● Support Wall mount installation
● Support Desktop installation  Heat Dissipation ● Made of high-quality metal case, sturdy and durable with long service life, provide better heat dissipation, suitable for most environment.
● Venting holes help to dissipate heat quickly and ensure stable product operation  Texas Instruments PoE chipset inside ● Texas Instruments TPS POE chipset and Realtek switch chipset ensure High performance and stable operation of the product.  Auto-sensing ● Port-Power-Prioritization technology ensure continuous power supply of key nodes.
● Auto-sensing technology delivers up to 32W to an 802.3at PoE+ device with backwards compatibility for 802.3af PoE (15.4W) devices  Lightning protection ● Electrostatic standard: contact 6KV, air 8KV
● MTBF > 50000 hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-fs1018ps1-16-port-10-100m-poe-switch-with-2gbe-and-1-sfp-port.html,https://www.neostore.com.np/assets/uploads/FS1018PS1_3.jpg,https://www.neostore.com.np/assets/uploads/FS1018PS1_2.jpg,https://www.neostore.com.np/assets/uploads/FS1018PS1_.jpg,https://www.neostore.com.np/assets/uploads/FS1018PS1_3.jpg,Cudy FS1018PS1 16-Port 10/100M PoE+ Switch with 2GbE and 1 SFP Port,"● 200 watts PoE power supply, up to 30 watts per port
● 2 10/100/1000M uplink ports +1 SFP Port
● 16 10/100M PoE+ ports
● CCTV mode support remote PoE feeding up to 250m
● VLAN mode isolate each PoE Ports for security
● IEEE 802.3at / IEEE 802.3af standard compliant
● Plug&play, simple setup with no configuration needed
● Watchdog reactivates the abnormalPD by resuming POE power","Current Price: Rs.19,350, Original Price: Rs.20,350",,,,,,,,,,,,,,,,,,,,,,,,-40~70°C,,,,,,,,"  200 W Power budget & 30 W Maximum One Port Supports a total PoE power of 200 W and up to 30 W for one PoE port. Non-standard PoE devices or normal PoE switches are not burned. Meets IEEE802.3af / at standard.  Watchdog guarantees uninterrupted operation of the PoE devices The PoE watchdog continuously monitors the connection status of remote hosts. If an error is detected on the remote PoE device, the PoE switch immediately restarts the device to bring it back to normal operation. Plug&Play, Fanless design Plug and Play, Easy of use.Fanless design for silent operation.Made of high-quality metal case, sturdy and durable with long service life, provide better heat dissipation, suitable for most environment. Pin assignment, Mode A: 1/2(+),3/6(-) Surveillance Works with IP Cameras for home and office, small business VoIP Conference Call Works with VoIP phones for business conference

Wi-Fi Coverage Works with WiFi APs for office and business",FS1018PS1,AC100~240V,190W for 16 PoE,100Meter(328ft)for RJ-45,7.2G,14880 pps for 10Mbps,4K MAC sddress table,The port is receiving or transmitting data.,No PD is connected or power forwarding fails,"V+(RJ45 Pin 1, 2) - (RJ45 Pin 3,6)",0~85%,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-gs1005p-5-port-gigabit-poe-switch-with-1-sfp-slot.html,https://www.neostore.com.np/assets/uploads/GS1005P_21.jpg,https://www.neostore.com.np/assets/uploads/GS1005P_3.jpg,https://www.neostore.com.np/assets/uploads/GS1005P1.jpg,https://www.neostore.com.np/assets/uploads/GS1005P_21.jpg,Cudy GS1005P 5-Port Gigabit PoE+ Switch with 1 SFP Slot,"● 120 watts PoE power supply
● 4 Gigabit PoE+ ports and 1 Gigabit Ethernet ports+1Gigabit SFP
● Extend mode support remote PoE feeding up to 250m
● VLAN mode isolate each PoE Ports for security
● Watchdog reactivates the abnormalPD by resuming POE power
● IEEE 802.3at / IEEE 802.3af standard compliant
● Plug&play, simple setup with no configuration needed","Current Price: Rs.9,025, Original Price: Rs.9,500",GS1005PTS1,,,,,,,,,,,,,,Store and forward,,,,,,,,,,,,,,100000 hour,,,"    120 W Power budget & 60 W Maximum One Port The total PoE power supported by the PoE port is 120 W, and the maximum for port #1 is 60 W. Non-standard PoE devices or normal PoE switches are not burned. Meets IEEE802.3af / at standard.  Rack Mount & Wall Mount & Desktop ● Provide a variety of installation methods for easy deployment in any environment
● Support Wall mount installation
● Support Desktop installation  Plug&Play, Fanless design Plug and Play, Easy of use.Fanless design for silent operation.Made of high-quality metal case, sturdy and durable with long service life, provide better heat dissipation, suitable for most environment. Pin assignment, Mode A: 1/2(+),3/6(-)  Surveillance Works with IP Cameras for home and office, small business  VoIP Conference Call Works with VoIP phones for business conference  Wi-Fi Coverage Works with WiFi APs for office and business",,,,,12Gbps,,,,,,,,"4*10/100/1000M PoE Port
1*1000M RJ45 Port
1* Gigabit SFP Uplink Port",8.928Mpps,1Mb,2K,9216bytes,"IEEE802.3 (10Base-T)
IEEE802.3u (100Base-TX)
IEEE802.3ab(1000Base-TX)
IEEE802.3z(1000Base-FX)
IEEE802.3x (Flow control)","IEEE802.3af （15.4W）
IEEE802.3at （30W）
IEEE802.3at （4 Pair 60W）","EMI: FCC Part 15 CISPR (EN55032) class A
EMS: EN61000-4-2 (ESD),EN61000-4-4 (EFT),EN61000-4-5 (Surge)
Shock: IEC 60068-2-27
Free Fall: IEC 60068-2-32
Vibration: IEC 60068-2-6","10Base-T : Cat3、4、5 or above UTP(≤100m)
100Base-TX : Cat5 or above UTP(≤100m)
1000Base-TX : Cat5 or above UTP(≤100m)","Multimode fiber : 50/125, 62.5/125, 100/140μm
Single mode fiber: 8/125, 8.7/125, 9/125, 10/125μm","Working Temperature：-20~50°C
Storage Temperature：-40~85°C
Working Humidity ：10%~90%，non-condensing
Storage Temperature：5%~90%，non-condensing
Working Height：Maximum10,000 feet
Storage heigh：Maximum 10,000 feet","Lighting：Powered
Un-Light：No Power","Lighting：VLAN
Un-Light：Default
Flashing：Extend","Lighting：Connecting
Flashing：Data Transmit
Un-Light：Disconnect","VLAN：Port isolation mode. In this mode, the PoE ports (1-4) of the switch cannot communicate with each other, and can only communicate with the UP-link port.
Default: Normal mode, all port can communicate with each other, the transmission distance is within 100 meters
Extend：Link extension mode, 3-4 ports PoE power supply and data transmission distance can be extended to 250 meters, the transmission rate becomes 10M",200*118*44mm,245*190*60mm,0.6kg,0.9kg,"Carton MEAS：505*320*402mm
Packing Qty：20units
Packing Weight：19KG","Switch 1 pcs, Power cord 1 pcs, User manual 1 pc, Certification 1 pc,",2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-gs1005pts1-5-port-gigabit-poe-switch-with-1-sfp-slot.html,https://www.neostore.com.np/assets/uploads/GS1005PTS1_2.jpg,https://www.neostore.com.np/assets/uploads/GS1005PTS1_.jpg,https://www.neostore.com.np/assets/uploads/GS1005PTS1_2.jpg,https://www.neostore.com.np/assets/uploads/GS1005PTS1_.jpg,Cudy GS1005PTS1 5-Port Gigabit PoE+ Switch with 1 SFP Slot,"● 120 watts PoE power supply
● 4 Gigabit PoE+ ports and 1 Gigabit Ethernet ports+1Gigabit SFP
● Extend mode support remote PoE feeding up to 250m
● VLAN mode isolate each PoE Ports for security
● Watchdog reactivates the abnormalPD by resuming POE power
● IEEE 802.3at / IEEE 802.3af standard compliant
● Plug&play, simple setup with no configuration needed","Current Price: Rs.8,455, Original Price: Rs.8,900",GS1005PTS1,,,,,,,,,,,,,,Store and forward,,,,,,,,,,,,,,100000 hour,,,"   120 W Power budget & 60 W Maximum One Port The total PoE power supported by the PoE port is 120 W, and the maximum for port #1 is 60 W. Non-standard PoE devices or normal PoE switches are not burned. Meets IEEE802.3af / at standard.  Rack Mount & Wall Mount & Desktop ● Provide a variety of installation methods for easy deployment in any environment
● Support Wall mount installation
● Support Desktop installation  Plug&Play, Fanless design Plug and Play, Easy of use.Fanless design for silent operation.Made of high-quality metal case, sturdy and durable with long service life, provide better heat dissipation, suitable for most environment. Pin assignment, Mode A: 1/2(+),3/6(-)  Surveillance Works with IP Cameras for home and office, small business VoIP Conference Call Works with VoIP phones for business conference

Wi-Fi Coverage Works with WiFi APs for office and business",,,,,12Gbps,,,,,,,,"4*10/100/1000M PoE Port
			1*1000M RJ45 Port
			1* Gigabit SFP Uplink Port",8.928Mpps,1Mb,2K,9216bytes,"IEEE802.3 (10Base-T)
			IEEE802.3u (100Base-TX)
			IEEE802.3ab(1000Base-TX)
			IEEE802.3z(1000Base-FX)
			IEEE802.3x (Flow control)","IEEE802.3af （15.4W）
			IEEE802.3at （30W）
			IEEE802.3at （4 Pair 60W）","EMI: FCC Part 15 CISPR (EN55032) class A
			EMS: EN61000-4-2 (ESD),EN61000-4-4 (EFT),EN61000-4-5 (Surge)
			Shock: IEC 60068-2-27
			Free Fall: IEC 60068-2-32
			Vibration: IEC 60068-2-6","10Base-T : Cat3、4、5 or above UTP(≤100m)
			100Base-TX : Cat5 or above UTP(≤100m)
			1000Base-TX : Cat5 or above UTP(≤100m)","Multimode fiber : 50/125, 62.5/125, 100/140μm
			Single mode fiber: 8/125, 8.7/125, 9/125, 10/125μm","Working Temperature：-20~50°C
			Storage Temperature：-40~85°C
			Working Humidity ：10%~90%，non-condensing
			Storage Temperature：5%~90%，non-condensing
			Working Height：Maximum10,000 feet
			Storage heigh：Maximum 10,000 feet","Lighting：Powered
			Un-Light：No Power","Lighting：VLAN
			Un-Light：Default
			Flashing：Extend","Lighting：Connecting
			Flashing：Data Transmit
			Un-Light：Disconnect","VLAN：Port isolation mode. In this mode, the PoE ports (1-4) of the switch cannot communicate with each other, and can only communicate with the UP-link port.
Default: Normal mode, all port can communicate with each other, the transmission distance is within 100 meters
Extend：Link extension mode, 3-4 ports PoE power supply and data transmission distance can be extended to 250 meters, the transmission rate becomes 10M",200*118*44mm,245*190*60mm,0.6kg,0.9kg,"Carton MEAS：505*320*402mm
			Packing Qty：20units
			Packing Weight：19KG","Switch 1 pcs, Power cord 1 pcs, User manual 1 pc, Certification 1 pc,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cudy-gs1008pt-8-port-gigabit-poe-switch.html,https://www.neostore.com.np/assets/uploads/GS1008PT_2.jpg,https://www.neostore.com.np/assets/uploads/GS1008PT_.jpg,https://www.neostore.com.np/assets/uploads/GS1008PT_2.jpg,https://www.neostore.com.np/assets/uploads/GS1008PT_.jpg,Cudy GS1008PT 8-Port Gigabit PoE+ Switch,"● 120 watts PoE power supply, port #1 maximum 60 watts
● 8 10/100/1000M PoE+/PoE+ ports
● Extend mode support remote PoE feeding up to 250m
● VLAN mode isolate each PoE Ports for security
● Watchdog reactivates the abnormalPD by resuming POE power
● IEEE 802.3at / IEEE 802.3af standard compliant
● Plug&play, simple setup with no configuration needed","Current Price: Rs.11,875, Original Price: Rs.12,500",GS1008PT,,,,,,,,,,,,,,Store and forward,,,,,,,,,,,,,,100000 hour,,,"    120 W Power budget & 60 W Maximum One Port The total PoE power supported by the PoE port is 120 W, and the maximum for port #1~#2 is 60 W. Non-standard PoE devices or normal PoE switches are not burned. Meets IEEE802.3af / at standard.  Rack Mount & Wall Mount & Desktop ● Provide a variety of installation methods for easy deployment in any environment
● Support Wall mount installation
● Support Desktop installation  Plug&Play, Fanless design Plug and Play, Easy of use.Fanless design for silent operation.Made of high-quality metal case, sturdy and durable with long service life, provide better heat dissipation, suitable for most environment. Pin assignment, Mode A: 1/2(+),3/6(-)  Surveillance Works with IP Cameras for home and office, small business  VoIP Conference Call Works with VoIP phones for business conference  Wi-Fi Coverage Works with WiFi APs for office and business","Lighting：VLAN
Un-Light：Default
			Flashing：Extend",,,,16Gbps,,,,,,,,8 *10/100/1000M PoE Port,11.9Mpps,1.5Mb,2K,9216bytes,"IEEE802.3 (10Base-T)
IEEE802.3u (100Base-TX)
IEEE802.3ab (1000Base-TX)
IEEE802.3x (Flow control)","IEEE802.3af （15.4W）
IEEE802.3at （30W）
			IEEE802.3at （4 Pair 60W）","EMI: FCC Part 15 CISPR (EN55032) class A
EMS: EN61000-4-2 (ESD)、EN61000-4-4 (EFT)、EN61000-4-5 (Surge)
Shock: IEC 60068-2-27
Free Fall: IEC 60068-2-32
Vibration: IEC 60068-2-6","10Base-T : Cat3、4、5 or above UTP(≤100m)
100Base-TX : Cat5 or above UTP(≤100m)
			1000Base-TX : Cat5 or aboveUTP(≤100m)",,"Working Temperature：-20~50°C
Storage Temperature：-40~85°C
Working Humidity ：10%~90%，non-condensing
Storage Temperature：5%~90%，non-condensing
Working Height：Maximum10,000 feet
			Storage heigh：Maximum 10,000 feet",,,,"VLAN：Port Isolation, 1-6 port is isolated each other, but all can communicate with uplink port 7/8, AI enable
Default: Normal mode, all port can communicate with each other, The port AI mode is closed.
Extend：Extend Mode, 3-6 port support 250 meters transmission on 10Mbps/s ,AI enable",200mm*118mm*44mm,245mm*190mm*60mm,0.6kg,0.9kg,"Carton MEAS：505*320*402mm
Packing Qty：20 units
			Packing Weight：19KG","Switch 1 pcs, Power cord 1 pcs, User manual 1 pc, Certification 1 pc,",2 Years,"Input: AC 100-240V, 50/60Hz",PWR（power supply），Mode（DIP），1-8 Green（Link&Data）,"Lighting：Powered
			Un-Light：No Power","Lighting：Connecting
Flashing：Data Transmit
			Un-Light：Disconnect",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
