html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Type,Brand,Color,Connector type,Dimensions,Cable_length,System Required,Web Resolution,FOV,Lens technology,Focus type,Package contents,Warranty,label,description2,Model,Category,Colour,Connection,Weight,Camera Resolution,Cost,Show_countdown,FoV,PACKAGE CONTENTS,Display size,Display Type,Resolution,Chipset,CPU,GPU,RAM,Storage,Primary Camera,Secondary Camera,Battery,Operating system,Features,Resolution and Frame Rate,Sensor,Field of View,Host Connection,Power Source,Low-Light Correction,Supported Operating Systems,Microphone,Polar Pattern,Microphone Features,Privacy Shutter,Attachment Method,Cable Length
dell-pro-2k-qhd-webcam---wb5023.html,https://www.neostore.com.np/assets/uploads/wc.jpg,https://www.neostore.com.np/assets/uploads/wc_2.jpg,https://www.neostore.com.np/assets/uploads/wc.jpg,https://www.neostore.com.np/assets/uploads/wc_2.jpg,Dell Pro 2k QHD Webcam - WB5023,"Professional 2K QHD webcam with outstanding video quality and picture clarity, certified for Microsoft Teams and Zoom.","Current Price: Rs.26,500, Original Price: Rs.27,900",Dell Pro 2k QHD Webcam - WB5023,Webcam,Dell,Black,USB,1.73inch x 3.62inch,1.5 meter,"Win11/10 64 Bit
MacOS","2K QHD / 24, 30 fps
Full HD / 24, 30, 60 fps
HD / 24, 30, 60 fps","65, 78 degree",-,Autofocus,"Dell WB5023 webcam with cable, User documentation, External privacy cap",1 Year,,"Stunning clarity The large Sony STARVIS™ sensor in this 2K QHD, 1440p camera takes in substantial light to give you vibrant picture clarity and a vivid image. Look your best With Advanced Image Signal Processing
Digital Overlap HDR (DOL-HDR) delivers true-to-life color in extreme lighting environments.
Temporal (3D) and Spatial (2D) Noise Reduction automatically eliminates motion blur and grainy images in low light. Facial Detection Auto Exposure (FDAE) balances harsh lighting on your face for optimal image quality. The spotlight's on you AI Auto Framing keeps you center-framed even as you move and shift, so the focus is always on you. Deliberate design, inside and out Communicate clearly no matter what's going on around you with the noise reduction mic built into this sleek webcam.
Limit distractions on-screen and behind the scenes with the integrated mounting clip that doesn't block your screen.
Privacy and protection with a shutter cap that magnetically snaps on and off and stows behind the webcam for handy safekeeping.
Compatible with multiple operating systems for a seamless collaboration experience. For information on OS support, please refer to the Technical Specifications. Design how they see you Dell Peripheral Manager software offers an amazing range of features like HDR, AI Auto Framing, different Fields of View, and Presets allowing you to easily customize settings based on your preferences. Look your best every time with the Dell Pro Webcam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dell-ultrasharp-4k-webcam-wb7022.html,https://www.neostore.com.np/assets/uploads/wc1.jpg,https://www.neostore.com.np/assets/uploads/wc2.jpg,https://www.neostore.com.np/assets/uploads/wc1.jpg,https://www.neostore.com.np/assets/uploads/wc2.jpg,Dell UltraSharp 4K Webcam WB7022,Experience best image quality in its class with the world’s most intelligent 4K webcam.,"Current Price: Rs.40,750, Original Price: Rs.42,900",Dell UltraSharp 4K Webcam WB7022,Webcam,Dell,Black,USB,42mm x 90mm/1.65inch x 3.54inch,2 meter,"Windows® 8 or later
macOS 10.10 or later
ChromeOS™
USB - A port",4k UHD,"65,78,90 degree",n/a,Auto,"Dell WB7022 Webcam, Webcam mount, USB-C to USB-A cable, Tripod adapter, User documentations, External privacy cap",1 Year,,"Connect like you’re there Our 4K High Dynamic Range (HDR) webcam with a large 4K Sony STARVIS™ CMOS sensor captures more light delivering crystal-clear video and the best image quality in its class. Look great, always Digital Overlap HDR delivers true-to-life color in extreme lighting environments, while 3D/2D video noise reduction automatically eliminates motion blur and grainy images, even in low light–so you always look great. Keeping you in focus As the world’s most intelligent 4K webcam, advanced AI auto framing works to always stay focused on what matters most—you. It keeps you at the center of the picture no matter where you move. You can also control the sensitivity and how quickly the camera tracks you, and how tight the framing is. Engineered to be effortless Designed for your virtually borderless displays, your webcam magnetically attaches to the mount and sits well on your monitor without blocking a single pixel. With the world's most seamless webcam mounting solution, your setup is effortless. Design how they see you Dell Peripheral Manager software enables you to utilize advanced and intelligent features like HDR, AI Auto Framing, different Fields of View, Presets allowing you to easily customize settings based on your preferences. Look your best every time with Dell UltraSharp Webcam. The full picture Customize how much you want to show of yourself and your surroundings by adjusting your field of view to 65°, 78° or 90°. Facial recognition Dell ExpressSign-in detects your presence when you are close and uses Windows Hello to automatically log you in. When you walk away, it locks your system for increased security. Privacy in a snap A privacy shutter cap allows you to conveniently snap the cover on the lens and keep it protected when not in use. Connect like you’re there Our 4K High Dynamic Range (HDR) webcam with a large 4K Sony STARVIS™ CMOS sensor captures more light delivering crystal-clear video and the best image quality in its class. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikvision-ds-u18-8mp-professional-webcam-with-built-in-microphone.html,https://www.neostore.com.np/assets/uploads/hikv_1_3.jpg,https://www.neostore.com.np/assets/uploads/hikv_1_2.jpg,https://www.neostore.com.np/assets/uploads/hikv_1.jpg,https://www.neostore.com.np/assets/uploads/hikv_1_3.jpg,Hikvision DS-U18 8MP Professional Webcam with Built-in Microphone,"8 MP CMOS High quality imaging with 3840 × 2160 resolution Min. illumination: 0.1 Lux @ (F1.2, AGC ON) AGC for self-adaptive brightness Built-in microphone with clear sound Type-C interface, supporting USB 3.0 and USB 2.0 protocols. Plug-and-play, no need to install driver software","Current Price: Rs.10,041, Original Price: Rs.",,,Hikvision,,,130 mm × 53.2 mm × 56.6 mm,,,,,,,,1 Year,," Available models DS-U18
Subseries Value Series
Case Type Other
Resolution 3840 × 2160 resolution
Lens Type Fixed Lens
Shutter Time PAL: 1/25 s to 1/50,000 s;NTSC: 1/30 s to 1/50,000 s
Material Plastic
Lens mount M16
Dimension 130 mm × 53.2 mm × 56.6 mm (5.12"" × 2.09"" × 2.23"")
Weight Approx. 137 g (0.30 lb)
Audio Sampling Rate 48 kHz
Packing List Camera × 1USB cable × 1Quick Start Guide × 1
Day & Night 24/7 Color Imaging
Depth of Field 2 m to ∞
Operating Conditions-10°C to 45°C, Humidity: 90% or less (non-condensing)
Lens 3.6 mm fixed focal lens
Consumption Max. 2.2 W
Signal System PAL/NTSC
Operating System Recommended systemsWindows 7/8/10/11 (resolution higher than 1080P is only available in Windows 8.1 and above version)Android 8.1 and above versionLinux 4.14 and above versionmacOS 10.12 and above versionChrome OS
Audio In Built-in mic",DS-U18 8MP,Webcam,Black,"Type-C interface, supporting USB 3.0 and USB 2.0 protocols.",137 Grams Approx.,3840 × 2160 resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logitech-brio-webcam.html,https://www.neostore.com.np/assets/uploads/brio_2.jpg,https://www.neostore.com.np/assets/uploads/brio.jpg,https://www.neostore.com.np/assets/uploads/brio_2.jpg,https://www.neostore.com.np/assets/uploads/brio.jpg,Logitech Brio Webcam,Great For Video Conferencing Smooth Streaming High Quality No Lag Adjustable FOV,"Current Price: Rs.46,450, Original Price: Rs.48,900",Logitech Brio,Webcam,Logitech,Black,USB,27 mm x 102 mm x 27 mm,2.2 meter,"Windows 7, 8.1 or higher required for resolutions greater than 1080p, macOS® 10.10 or later, Chrome OS, 2 GB RAM, One USB 2 or USB 3 port","4K/30fps (up to 4096 x 2160 pixels), 1080p/30 or 60 fps (up to 1920 x 1080 pixels), 720p/30, 60, or 90 fps (up to 1280 x 720 pixels)",Adjustable,Glass,Autofocus,"Webcam with detachable universal mounting clip (on webcam), Attachable privacy shutter, Travel bag, 7.2 ft (2.2 m) USB-A to USB-C cable (USB 2.0 or 3.0), User documentation",1 Year,,"The Ultimate Webcam For Meeting Our best and most advanced business webcam is the Logitech Brio. Brio elevates the bar for super 4K HD video collaboration excellence with its revolutionary innovations. RightLight and high dynamic range (HDR) technology adjust automatically to help you seem professional in any lighting situation, including low light, direct sunlight, and high contrast lighting. Brio is certified for business and supports Windows Hello thanks to its integrated optical and infrared sensors. Best Of The Best Brio is an amazing piece of technology that transmits crystal-clear video with excellent resolution, frame rate, color, and clarity, as well as autofocus and a 5x HD zoom. Brio produces 4K Ultra HD video at 30 frames per second, HD 1080p video at 30 or 60 frames per second, and HD 720p video at 30, 60, or an ultra-smooth 90 frames per second for exceptional clarity, smoothness, and detail. Adjustable FOV To correctly frame your movie, choose from three fields of view (FOV) presets. Choose a diagonal of 65 degrees to frame a perfect head and shoulders view. Choose a diagonal angle of 78° or 90° to capture more of the room. Get a closer look with 5x HD zoom in stunning 4K resolution, regardless of the dFOV level you choose. Look Great In Light In any light, meet, stream, and record with Brio and always look your best. RightLight 3 and high dynamic range (HDR) technologies seamlessly adjust from low light to brilliant backlighting sunshine to always showcase the most important subject: you. Sound Professional In Any Environment Brio has two built-in omnidirectional microphones with noise-canceling technology. The mics record audio clearly from up to one meter away without boosting background noise, ensuring natural and clear interactions. Security Meets Convenience Brio provides rapid and safe facial recognition for Windows Hello, thanks to optical and infrared sensors. For Windows 10, there's no need to type a password; simply gaze into the Brio lens to log in. Smooth Streaming No Lag For high-quality recording, asynchronous presentation sharing with Teams, and smooth, fluid gaming broadcasts that keep up with your every move, Brio maintains a high frame rate (up to 90 fps) in every lighting condition. The higher frame rates are great for any situation that necessitates slow motion or a video stream that is extra-smooth and fluid. Take Control With Desktop On select models, including Brio, the Logi Tune Desktop app facilitates personal device control and customization. Zoom in/out, color presets, color tweaks, manual focus, and firmware upgrades are all available through the small app, which runs invisibly on your screen for uninterrupted video communication.",,,,,,,-,N/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logitech-c270-hd-webcam.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0012_Logitech-C270-HD-Webcam2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0014_Logitech-C270-HD-Webcam.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0013_Logitech-C270-HD-Webcam1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/0011_Logitech-C270-HD-Webcam3.jpg,Logitech C270 HD Webcam,"Experience sharp, smooth video calling (720p/30fps) in a widescreen format with the C270 HD Webcam. Automatic light correction shows you in vibrant, natural colors.","Current Price: Rs.4,075, Original Price: Rs.4,290",Logitech C270 HD Webcam,Webcam,Logitech,Black,,,1.5 m,"Compatible with: Windows® 10 or later, Windows 8, Windows 7",720p/30fps,,standard,fixed focus,,1 Year Warranty,,"THE EXCELLENT BUDGET WEBCAM FOR VIDEO CONFERENCING Logitech C270 HD Webcam can be your perfect choice if you need a webcam for video conferencing. Moreover, the webcam can be appropriate for the students who are learning from home. It's a high-definition camera with a low price tag that does what you'd expect from it. WIDESCREEN HD 720P VIDEO CALLS The C270 webcam is for making high-definition video calls on your favorite platforms like Skype™. At 30 frames per second, video quality is smooth, while images are crisp, colorful, and contrasted. YOUR VOICE IS HEARD The built-in noise-reducing mic makes sure your voice comes across clearly, even if you’re in busy surroundings. LOOK YOUR BEST Even if you’re video calling or recording in dim surroundings, the Logitech C270 adjusts to the lighting conditions to produce brighter, contrasted images. FIRMLY FIXED The webcam comes with a universal clip. You can either attach it securely to your screen or set it on a shelf. FLEXIBILITY THAT GOES BEYOND BUILT-IN Small, agile, and adjustable, the Logitech C270 HD Webcam brings a whole new angle to video calling. Dimensions Dimensions including fixed mounting clip Check out this similar product: Logitech Webcam HD C525",,,,,,,,,60°,"C270 with 1.5 m cable, User documentation",,,,,,,,,,,,,,,,,,,,,,,,,,
logitech-c505-hd-webcam.html,https://www.neostore.com.np/assets/uploads/274.jpg,https://www.neostore.com.np/assets/uploads/353.jpg,https://www.neostore.com.np/assets/uploads/193.jpg,https://www.neostore.com.np/assets/uploads/274.jpg,Logitech C505 HD Webcam,"C505 is a webcam with HD 720p video and a long-range mic that supports clear, natural conversation up to 3 meters away. Plus, an extra-long 2m USB-A cable provides uniquely versatile mounting options.","Current Price: Rs.8,065, Original Price: Rs.8,490",Logitech C505 HD Webcam,Webcam,Logitech,Black,USB,31.91mm x 72.91 mm x 66.64mm,2 meter,"Windows® 8 or later
macOS 10.10 or later
ChromeOS™
USB - A port",720p/30fps,60 Degrees,plastic,Fixed,"1 webcam with 2 m attached USB - A cable
User documentation",1 Year,,"A WEBCAM WITH EXTENDED REACH C505 is a webcam with HD 720p video and a long-range mic that supports clear, natural conversation up to 3 meters away. Plus, an extra-long 2m USB-A cable provides uniquely versatile mounting options. HD 720P WIDESCREEN VIDEO Step up from built-in laptop optics with a webcam that delivers crisp, smooth and colorful video quality with widescreen HD 720p/30 fps resolution. C505 provides a 60° diagonal field of view, fixed focus and auto light correction that adjusts to the illumination of your meeting space. C505 CLEAR, NATURAL AUDIO The single, omnidirectional mic features noise-reduction technology and is engineered to support clear, natural conversation up to 3 meters away, even in busy environments like open workspaces and classrooms. 2M CABLE EXTENDS SETUP OPTIONS With its extra-long 2 m USB-A cable and universal clip, C505 offers a wide range of versatile mounting possibilities. Go traditional and position it securely on a laptop or external screen, or get creative and mount it on a shelf or fixture up to 2 m away from your computer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logitech-c920-hd-pro-webcam.html,https://www.neostore.com.np/assets/uploads/uploads/2020/08/c920-pro-hd-webcam-refresh-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/c920-pro-hd-webcam-refresh-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/c920-pro-hd-webcam-refresh-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/08/c920-pro-hd-webcam-refresh.jpg,Logitech C920 HD Pro Webcam,"If you want to make a good impression on an important Skype call, record polished demos, or showcase your skills and passions on YouTube, the C920 will deliver the goods, with remarkably crisp and detailed Full HD video (1080p at 30fps) as well as clear, stereo sound.","Current Price: Rs.21,650, Original Price: Rs.22,790",,,,,,,,,,,,,,,,"FULL HIGH-DEF 1080P VIDEO CALLING When it comes to the high quality of the Logitech Webcam C920, make a lasting impression. You'll appear in clear details and brilliant colors, with flowing video, whether you're video calling or recording. Due to the Full HD 1030p at 30 frames per second, your video quality will be excellent for the viewers. FULL HD GLASS LENS The full HD glass lens and superior autofocus provide incredible clarity and detail. The excellent autofocus adjusts smoothly and accurately to give consistent high definition, while the five-element glass lens captures razor-sharp, clear images. BRIGHTER IMAGES The C920's automatic HD light correction fine-tunes the image to the lighting circumstances, resulting in bright, contrasted images even in low-light situations. FULL STEREOPHONICS Logitech C920 Pro Webcam is equipped with two microphones, one on each side of the camera. To record more realistic sound from every angle, ensuring that your voice comes through sounding natural and clear. FLEXIBILITY THAT GOES BEYOND BUILT-IN Logitech C920 HD Webcam is small, nimble, and adaptable, giving you a whole new perspective on video calling while making you appear and sound like a pro. DUAL-MIC STEREO AUDIO Two microphones, one on either side of the camera, record more natural sound from more angles. In conference calls, your voice comes across as natural and clear. Click Here, For additional details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
